src_person,dst_person,relation,shared_universities,same_grad_year
Mark Zuckerberg,$,LINKS_TO,,0
Mark Zuckerberg,14 tháng 5,LINKS_TO,,0
Mark Zuckerberg,1984,LINKS_TO,,0
Mark Zuckerberg,2002,LINKS_TO,,0
Mark Zuckerberg,2013,LINKS_TO,,0
Mark Zuckerberg,2015,LINKS_TO,,0
Mark Zuckerberg,Adam D'Angelo,LINKS_TO,,0
Mark Zuckerberg,America (magazine),LINKS_TO,,0
Mark Zuckerberg,Andrei Alexandrescu,LINKS_TO,,0
Mark Zuckerberg,Andrew McCollum,LINKS_TO,,0
Mark Zuckerberg,Angela Merkel,LINKS_TO,,0
Mark Zuckerberg,Apache Cassandra,LINKS_TO,,0
Mark Zuckerberg,Apache Hive,LINKS_TO,,0
Mark Zuckerberg,Apache Thrift,LINKS_TO,,0
Mark Zuckerberg,BBC,LINKS_TO,,0
Mark Zuckerberg,BBC News,LINKS_TO,,0
Mark Zuckerberg,Ba Lan,LINKS_TO,,0
Mark Zuckerberg,Bar Mitzvah,LINKS_TO,,0
Mark Zuckerberg,Barack Obama,LINKS_TO,,0
Mark Zuckerberg,Ben Bernanke,LINKS_TO,,0
Mark Zuckerberg,Bill Gates,LINKS_TO,,0
Mark Zuckerberg,Biểu đồ xã hội,LINKS_TO,,0
Mark Zuckerberg,Bono,LINKS_TO,,0
Mark Zuckerberg,Bret Taylor,LINKS_TO,,0
Mark Zuckerberg,C-SPAN,LINKS_TO,,0
Mark Zuckerberg,Capital Gazette shooting,LINKS_TO,,0
Mark Zuckerberg,Cenk Uygur,LINKS_TO,,0
Mark Zuckerberg,Charlie Cheever,LINKS_TO,,0
Mark Zuckerberg,Chris Cox,LINKS_TO,,0
Mark Zuckerberg,Chris Hughes,LINKS_TO,,0
Mark Zuckerberg,Chris Kelly,LINKS_TO,,0
Mark Zuckerberg,Chính bạn (Nhân vật của năm),LINKS_TO,,0
Mark Zuckerberg,Coleen Rowley,LINKS_TO,,0
Mark Zuckerberg,CourseMatch,LINKS_TO,,0
Mark Zuckerberg,Cynthia Cooper (nhân viên kế toán),LINKS_TO,,0
Mark Zuckerberg,Câu lạc bộ Sierra,LINKS_TO,,0
Mark Zuckerberg,Cổ phiếu,LINKS_TO,,0
Mark Zuckerberg,Diaspora,LINKS_TO,,0
Mark Zuckerberg,Do Thái giáo,LINKS_TO,,0
Mark Zuckerberg,"Dobbs Ferry, New York",LINKS_TO,,0
Mark Zuckerberg,Donald E. Graham,LINKS_TO,,0
Mark Zuckerberg,Donald Trump,LINKS_TO,,0
Mark Zuckerberg,Dustin Moskovitz,LINKS_TO,,0
Mark Zuckerberg,Dân chủ cho Mỹ,LINKS_TO,,0
Mark Zuckerberg,Dịch bệnh Ebola tại châu Phi năm 2014,LINKS_TO,,0
Mark Zuckerberg,Dụ ngôn Người Samaria nhân lành,LINKS_TO,,0
Mark Zuckerberg,Eduardo Saverin,LINKS_TO,,0
Mark Zuckerberg,Elliot Schrage,LINKS_TO,,0
Mark Zuckerberg,Elma Rosas,LINKS_TO,,0
Mark Zuckerberg,Elon Musk,LINKS_TO,,0
Mark Zuckerberg,Facebook,LINKS_TO,,0
Mark Zuckerberg,Facebook Beacon,LINKS_TO,,0
Mark Zuckerberg,Facebook Query Language,LINKS_TO,,0
Mark Zuckerberg,Facemash,LINKS_TO,,0
Mark Zuckerberg,Forbes,LINKS_TO,,0
Mark Zuckerberg,Frederik Willem de Klerk,LINKS_TO,,0
Mark Zuckerberg,George W. Bush,LINKS_TO,,0
Mark Zuckerberg,Gideon Yu,LINKS_TO,,0
Mark Zuckerberg,Gigaom,LINKS_TO,,0
Mark Zuckerberg,Giáo hoàng Phanxicô,LINKS_TO,,0
Mark Zuckerberg,Greta Thunberg,LINKS_TO,,0
Mark Zuckerberg,Haaretz,LINKS_TO,,0
Mark Zuckerberg,Harvard Gazette,LINKS_TO,,0
Mark Zuckerberg,HipHop for PHP,LINKS_TO,,0
Mark Zuckerberg,Hiệu ứng Facebook (sách),LINKS_TO,,0
Mark Zuckerberg,Hoa Kỳ,LINKS_TO,,0
Mark Zuckerberg,Hư thai,LINKS_TO,,0
Mark Zuckerberg,Hạt Westchester,LINKS_TO,,0
Mark Zuckerberg,IPO,LINKS_TO,,0
Mark Zuckerberg,ISBN,LINKS_TO,,0
Mark Zuckerberg,Internet,LINKS_TO,,0
Mark Zuckerberg,Internet Movie Database,LINKS_TO,,0
Mark Zuckerberg,Jamal Khashoggi,LINKS_TO,,0
Mark Zuckerberg,Jim Breyer,LINKS_TO,,0
Mark Zuckerberg,Joe Biden,LINKS_TO,,0
Mark Zuckerberg,Kamala Harris,LINKS_TO,,0
Mark Zuckerberg,Kent Brantly,LINKS_TO,,0
Mark Zuckerberg,Khu bảo tồn Động vật Hoang dã Quốc gia Bắc cực,LINKS_TO,,0
Mark Zuckerberg,Kiểm soát tính nhất quán,LINKS_TO,,0
Mark Zuckerberg,Ký túc xá sinh viên,LINKS_TO,,0
Mark Zuckerberg,Lev Grossman,LINKS_TO,,0
Mark Zuckerberg,Lập trình máy tính,LINKS_TO,,0
Mark Zuckerberg,Lịch sử của Facebook,LINKS_TO,,0
Mark Zuckerberg,M (trợ lý ảo),LINKS_TO,,0
Mark Zuckerberg,Marc Andreessen,LINKS_TO,,0
Mark Zuckerberg,Maria Ressa,LINKS_TO,,0
Mark Zuckerberg,Matt Cohler,LINKS_TO,,0
Mark Zuckerberg,Melinda Gates,LINKS_TO,,0
Mark Zuckerberg,Meta (công ty),LINKS_TO,,0
Mark Zuckerberg,Meta Platforms,LINKS_TO,,0
Mark Zuckerberg,Mi Shebeirach,LINKS_TO,,0
Mark Zuckerberg,Midtown Manhattan,LINKS_TO,,0
Mark Zuckerberg,Mike Schroepfer,LINKS_TO,,0
Mark Zuckerberg,MoveOn.org,LINKS_TO,,0
Mark Zuckerberg,New Hampshire,LINKS_TO,,0
Mark Zuckerberg,New Jersey,LINKS_TO,,0
Mark Zuckerberg,New York,LINKS_TO,,0
Mark Zuckerberg,New York (tiểu bang),LINKS_TO,,0
Mark Zuckerberg,Người Do Thái,LINKS_TO,,0
Mark Zuckerberg,Người Hồi giáo,LINKS_TO,,0
Mark Zuckerberg,Người Mỹ,LINKS_TO,,0
Mark Zuckerberg,Người Ukraina,LINKS_TO,,0
Mark Zuckerberg,Người nhập cư kỹ thuật số,LINKS_TO,,0
Mark Zuckerberg,Người thổi còi,LINKS_TO,,0
Mark Zuckerberg,Nhân vật của năm (tạp chí Time),LINKS_TO,,0
Mark Zuckerberg,Những chỉ trích về Facebook,LINKS_TO,,0
Mark Zuckerberg,Những mốc sự kiện của Facebook,LINKS_TO,,0
Mark Zuckerberg,Những thành quả của Facebook,LINKS_TO,,0
Mark Zuckerberg,Nút thích của Facebook,LINKS_TO,,0
Mark Zuckerberg,Nước Hồi giáo,LINKS_TO,,0
Mark Zuckerberg,Nền tảng của Facebook,LINKS_TO,,0
Mark Zuckerberg,Owen Van Natta,LINKS_TO,,0
Mark Zuckerberg,Peter Thiel,LINKS_TO,,0
Mark Zuckerberg,Phong trào Me Too,LINKS_TO,,0
Mark Zuckerberg,Phật giáo,LINKS_TO,,0
Mark Zuckerberg,Priscilla Chan,LINKS_TO,,0
Mark Zuckerberg,Priscilla Chan (nhà nhân đạo),LINKS_TO,,0
Mark Zuckerberg,Protest,LINKS_TO,,0
Mark Zuckerberg,Quân đội Hoa Kỳ,LINKS_TO,,0
Mark Zuckerberg,"Quận Westchester, New York",LINKS_TO,,0
Mark Zuckerberg,Quỹ Cộng đồng Thung lũng Silicon,LINKS_TO,,0
Mark Zuckerberg,Randi Zuckerberg,LINKS_TO,,0
Mark Zuckerberg,Rudy Giuliani,LINKS_TO,,0
Mark Zuckerberg,Scribe (log server),LINKS_TO,,0
Mark Zuckerberg,Sean Parker,LINKS_TO,,0
Mark Zuckerberg,Sherron Watkins,LINKS_TO,,0
Mark Zuckerberg,Sheryl Sandberg,LINKS_TO,,0
Mark Zuckerberg,Simon & Schuster,LINKS_TO,,0
Mark Zuckerberg,Sự cố Facebook ngừng hoạt động 2021,LINKS_TO,,0
Mark Zuckerberg,Sự cố Facebook ngừng hoạt động 2024,LINKS_TO,,0
Mark Zuckerberg,Taylor Swift,LINKS_TO,,0
Mark Zuckerberg,TechCrunch,LINKS_TO,,0
Mark Zuckerberg,Ted Ullyot,LINKS_TO,,0
Mark Zuckerberg,TheWrap,LINKS_TO,,0
Mark Zuckerberg,The Accidental Billionaires,LINKS_TO,,0
Mark Zuckerberg,The Chronicle of Philanthropy,LINKS_TO,,0
Mark Zuckerberg,The Daily Telegraph,LINKS_TO,,0
Mark Zuckerberg,The Guardian,LINKS_TO,,0
Mark Zuckerberg,The Harvard Crimson,LINKS_TO,,0
Mark Zuckerberg,The Hollywood Reporter,LINKS_TO,,0
Mark Zuckerberg,The League of Conservation Voters,LINKS_TO,,0
Mark Zuckerberg,The Mercury News,LINKS_TO,,0
Mark Zuckerberg,The New York Times,LINKS_TO,,0
Mark Zuckerberg,The Social Network,LINKS_TO,,0
Mark Zuckerberg,The Verge,LINKS_TO,,0
Mark Zuckerberg,The Wall Street Journal,LINKS_TO,,0
Mark Zuckerberg,The Washington Post,LINKS_TO,,0
Mark Zuckerberg,The Young Turks,LINKS_TO,,0
Mark Zuckerberg,Thiên Chúa giáo,LINKS_TO,,0
Mark Zuckerberg,Thành phố New York,LINKS_TO,,0
Mark Zuckerberg,Thảm sát Inn Din,LINKS_TO,,0
Mark Zuckerberg,Time (magazine),LINKS_TO,,0
Mark Zuckerberg,Tiếng Hebrew,LINKS_TO,,0
Mark Zuckerberg,Tiếng Hy Lạp cổ đại,LINKS_TO,,0
Mark Zuckerberg,Tiếng Latinh,LINKS_TO,,0
Mark Zuckerberg,Tiếng Pháp,LINKS_TO,,0
Mark Zuckerberg,Tiếng Trung Quốc,LINKS_TO,,0
