person,person_url,university,university_url,source
Aravind Adiga,https://vi.wikipedia.org/wiki/Aravind_Adiga,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Adriana Cisneros,https://vi.wikipedia.org/wiki/Adriana_Cisneros,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Casey Affleck,https://vi.wikipedia.org/wiki/Casey_Affleck,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Alfred Sturtevant,https://vi.wikipedia.org/wiki/Alfred_Sturtevant,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Sidney Altman,https://vi.wikipedia.org/wiki/Sidney_Altman,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Bhimrao Ambedkar,https://vi.wikipedia.org/wiki/Bhimrao_Ambedkar,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Arora Akanksha,https://vi.wikipedia.org/wiki/Arora_Akanksha,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Kenneth Arrow,https://vi.wikipedia.org/wiki/Kenneth_Arrow,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Ashraf Ghani,https://vi.wikipedia.org/wiki/Ashraf_Ghani,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Auliʻi Cravalho,https://vi.wikipedia.org/wiki/Auli%CA%BBi_Cravalho,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Paul Auster,https://vi.wikipedia.org/wiki/Paul_Auster,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Richard Axel,https://vi.wikipedia.org/wiki/Richard_Axel,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Aziza Chaouni,https://vi.wikipedia.org/wiki/Aziza_Chaouni,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Yolanda Bedregal,https://vi.wikipedia.org/wiki/Yolanda_Bedregal,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Benjamin Graham,https://vi.wikipedia.org/wiki/Benjamin_Graham,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Benton,https://vi.wikipedia.org/wiki/Robert_Benton,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Joan Birman,https://vi.wikipedia.org/wiki/Joan_Birman,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Francis Bitter,https://vi.wikipedia.org/wiki/Francis_Bitter,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Konrad Emil Bloch,https://vi.wikipedia.org/wiki/Konrad_Emil_Bloch,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Brout,https://vi.wikipedia.org/wiki/Robert_Brout,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Linda B. Buck,https://vi.wikipedia.org/wiki/Linda_B._Buck,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Bùi Thanh Sơn,https://vi.wikipedia.org/wiki/B%C3%B9i_Thanh_S%C6%A1n,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
James Cagney,https://vi.wikipedia.org/wiki/James_Cagney,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Vanessa Carlton,https://vi.wikipedia.org/wiki/Vanessa_Carlton,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Timothée Chalamet,https://vi.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Chu Tự Tề,https://vi.wikipedia.org/wiki/Chu_T%E1%BB%B1_T%E1%BB%81,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Włodzimierz Cimoszewicz,https://vi.wikipedia.org/wiki/W%C5%82odzimierz_Cimoszewicz,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Mildred Cohn,https://vi.wikipedia.org/wiki/Mildred_Cohn,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Bill Condon,https://vi.wikipedia.org/wiki/Bill_Condon,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
David O. Selznick,https://vi.wikipedia.org/wiki/David_O._Selznick,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Theodosius Dobzhansky,https://vi.wikipedia.org/wiki/Theodosius_Dobzhansky,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
E. L. Doctorow,https://vi.wikipedia.org/wiki/E._L._Doctorow,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Jesse Douglas,https://vi.wikipedia.org/wiki/Jesse_Douglas,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Will Durant,https://vi.wikipedia.org/wiki/Will_Durant,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Đinh Thiện Lý,https://vi.wikipedia.org/wiki/%C4%90inh_Thi%E1%BB%87n_L%C3%BD,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Đường Thiệu Nghi,https://vi.wikipedia.org/wiki/%C4%90%C6%B0%E1%BB%9Dng_Thi%E1%BB%87u_Nghi,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Noam Elkies,https://vi.wikipedia.org/wiki/Noam_Elkies,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Fogel,https://vi.wikipedia.org/wiki/Robert_Fogel,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
James Franco,https://vi.wikipedia.org/wiki/James_Franco,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Milton Friedman,https://vi.wikipedia.org/wiki/Milton_Friedman,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Federico García Lorca,https://vi.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Art Garfunkel,https://vi.wikipedia.org/wiki/Art_Garfunkel,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
