key,n_people
name,529
birth_place,489
image,475
alma_mater,363
caption,224
death_place,218
nationality,213
field,182
term_start,169
known_for,168
party,158
predecessor,158
office,152
birth_name,147
spouse,142
term_end,131
successor,125
birth_date,125
signature,120
prizes,117
term_start2,114
awards,112
doctoral_advisor,110
predecessor2,108
term_end2,107
successor2,104
image_size,103
imagesize,100
office2,94
occupation,90
education,88
predecessor1,87
term_start1,84
residence,84
office1,80
successor1,78
term_end1,74
work_institutions,67
term_start3,67
doctoral_students,65
predecessor3,65
term_end3,63
successor3,63
religion,61
children,60
death_date,60
work_institution,57
workplaces,55
president,55
fields,52
office3,47
term_start4,40
influences,39
president2,39
profession,38
term_end4,38
rank,38
website,35
citizenship,35
predecessor4,34
successor4,34
office4,33
serviceyears,31
president1,31
influenced,29
school_tradition,27
genre,27
1namedata,26
battles,26
term_end5,25
term_start5,24
predecessor5,23
1blankname,23
color,23
branch,23
successor5,22
native_name_lang,22
order,22
parents,22
thesis_year,22
thesis_title,22
birthname,22
institution,21
office5,20
years_active,19
image_width,19
term_start6,18
thesis_url,18
successor6,18
predecessor6,18
repec_id,17
relatives,17
unit,17
term_end6,17
term_start7,16
primeminister,16
deputy,16
primeminister1,16
contributions,16
term_end7,15
primeminister2,15
module,14
president3,14
successor7,14
resting_place,13
background,13
partner,13
predecessor7,13
office7,13
otherparty,13
allegiance,12
primeminister3,12
relations,12
office6,12
birthplace,12
1,12
yearsactive,11
signature_alt,11
embed,11
title,10
notableworks,10
1blankname1,10
vicepresident,9
data1,9
blank1,9
alt,9
order2,9
period,9
commands,9
native_name,9
instrument,9
1namedata1,9
associated_acts,8
era,8
location,8
type,8
honorific-suffix,8
academic_advisors,8
label,8
region,8
primeminister6,7
primeminister4,7
term_end8,7
restingplace,7
succeeding,7
president4,7
successor8,7
district,7
term_start8,7
ethnicity,7
order1,7
movement,7
predecessor8,7
bgcolour,6
primeminister5,6
lieutenant,6
mawards,6
box_width,6
termend1,6
deathplace,6
preceded,6
subject,6
father,6
resting_place_coordinates,6
termstart1,5
1blankname2,5
training,5
works,5
honorific-prefix,5
goldenglobeawards,5
selection,5
notable_ideas,5
president5,5
insignia,5
2blankname2,5
2namedata2,5
mission,5
main_interests,5
monarch,5
time,5
child,5
notable_students,5
state,5
status,5
1namedata2,5
width,4
lieutenant2,4
primeminister8,4
primeminister7,4
language,4
image_caption,4
governor2,4
academyawards,4
district2,4
death_cause,4
footnotes,4
deputy1,4
order3,4
office8,4
medium,4
3namedata3,4
3blankname3,4
nen,4
origin,4
1blankname4,3
appointer4,3
subscribers,3
successor9,3
alongside,3
alias,3
term_end9,3
active,3
succeeded2,3
height,3
deputy3,3
dipstyle,3
district1,3
debut,3
1namedata3,3
1namedata4,3
1namedata5,3
1namedata6,3
1blankname3,3
1blankname6,3
deputy2,3
trainer,3
termstart,3
term_start9,3
employer,3
district3,3
1blankname5,3
resides,3
smallimage,3
constituency2,3
succeeded,3
state_senate2,3
state_house,3
state1,3
appointed,3
appointer,3
president8,3
altstyle,3
institutions,3
predecessor9,3
preceded2,3
placeofdeath,3
order4,3
p,3
placeofbirth,3
image name,3
billed,3
opposed,3
offstyle,3
co hinh,3
mother,3
names,3
nickname,3
net_worth,3
nominator1,3
2blankname3,3
2namedata3,3
weight,3
discipline,2
work_places,2
1namedata7,2
eva2,2
motto,2
t,2
alma_matter,2
home_town,2
governor3,2
stats_update,2
state_senate,2
state_assembly3,2
state_assembly,2
specialism,2
sinh,2
significant_projects,2
constituency4,2
constituency3,2
consecration,2
s,2
consecrated_by,2
coat_of_arms,2
channel_display_name,2
nominator,2
noi sinh,2
appointer3,2
appointer2,2
alongside3,2
research_field,2
pseudonym,2
prior_term,2
president6,2
jr/sr,2
issue,2
image_name,2
organization,2
ordination,2
order6,2
order5,2
ordained_by,2
office9,2
notablework,2
notable_works,2
premier2,2
portaldisp,2
place_birth,2
cardinal,2
lieutenant1,2
leader4,2
leader2,2
born,2
boards,2
other_post,2
other_names,2
1blankname7,2
wife,2
termstart2,2
termend2,2
termend,2
magnum_opus,2
url,2
dan toc,2
created_cardinal_by,2
4namedata4,2
4blankname4,2
3namedata2,2
3blankname2,2
views,2
vo,1
w,1
4blankname2,1
4namedata2,1
credits,1
current_members,1
date,1
date of ret,1
debut_works,1
truong vien chuc 2,1
truong vien chuc 3,1
vicepremier1,1
linh vuc,1
majority5,1
media gallery,1
module2,1
termend3,1
termend4,1
othername,1
parliament3,1
parliament4,1
perp,1
pho chuc vu,1
blankname,1
blankname2,1
landscape,1
last,1
laterwork,1
leader,1
leader1,1
leader3,1
leader5,1
leader6,1
leader7,1
lieutenant3,1
bpmf,1
branch_label,1
burial_place,1
buried,1
career,1
cha me,1
pho vien chuc,1
practice,1
preceded3,1
preceded4,1
preceding,1
predecessor10,1
bat dau 2,1
bat dau 3,1
battles_label,1
beginyear,1
birth,1
birth_nam,1
birthdate,1
house,1
office 2,1
office10,1
office11,1
onlysourced,1
order7,1
order8,1
order9,1
other2,1
image size,1
image_height,1
img,1
injuries,1
j,1
jr/sr1,1
ket thuc 3,1
premier3,1
premier4,1
president7,1
president9,1
previous_occupation,1
primeminister10,1
primeminister9,1
quyen,1
real_height,1
real_weight,1
regnal name,1
reign,1
appointed1,1
appointer1,1
appointer5,1
nominator3,1
notable role,1
notable_instruments,1
notable_lab_alumni,1
channel_direct_url,1
channel_name,1
chiu anh huong cua,1
chuc vu 2,1
chuc vu 3,1
church,1
con,1
apprehended,1
author_abbrev_zoo,1
author_abbreviation_bot,1
award,1
retired,1
rtgs,1
sagawards,1
secondvicepresident,1
constituency,1
constituency1,1
constituency7,1
constituency_mp3,1
constituency_mp4,1
conviction,1
conviction_penalty,1
conviction_status,1
cor-type,1
coronation,1
country,1
honors,1
see,1
shield,1
significant_awards,1
significant_buildings,1
silver_button,1
spouses,1
state3,1
state_assembly4,1
state_delegate,1
state_house1,1
state_house2,1
state_house3,1
state_house7,1
status1,1
sub_discipline,1
gold_button,1
goldenraspberryawards,1
governor1,1
governor4,1
governor7,1
gr,1
hinh,1
homepage,1
honorific_prefix,1
succeeded1,1
succeeded3,1
succeeded4,1
succession,1
successor10,1
sworn by,1
5blankname5,1
5namedata3,1
5namedata5,1
6blankname3,1
6namedata3,1
alma master,1
alma_master,1
alongside1,1
ten,1
ten hinh,1
term_end10,1
term_end11,1
term_start10,1
doctoral_advisors,1
dynasty,1
termstart3,1
termstart4,1
termstart5,1
tha,1
thesis,1
tieu de luan an,1
victim,1
vicepresident1,1
tp,1
nam hoat dong,1
namedata,1
ngay mat,1
ngay sinh,1
noi mat,1
noi o,1
emmyawards,1
ended,1
endyear,1
enthroned,1
fetchwikidata,1
gender,1
ghi chu hinh,1
term_start11,1
5blankname3,1
ton giao,1
2blankname1,1
2namedata1,1
truong theo hoc,1
truong vien chuc,1
workplace,1
y,1
truong chuc vu,1
truong chuc vu 2,1
truong chuc vu 3,1
dia hat 3,1
diamond_button,1
died,1
titlestyle,1
