src_person,dst_university,relation,year
Abiy Ahmed,Đại học Greenwich,ALUMNI_OF,
Abdullah Gül,Đại học Istanbul,ALUMNI_OF,
Abdullah Gül,Đại học Exeter,ALUMNI_OF,
Adly Mansour,Đại học Cairo,ALUMNI_OF,
Adly Mansour,École nationale d'administration,ALUMNI_OF,
Abhisit Vejjajiva,Eton College,ALUMNI_OF,
Ahmad Massoud,Đại học Hoàng đế Luân Đôn,ALUMNI_OF,
Ahmad Massoud,Đại học London,ALUMNI_OF,
Alain Poher,École nationale supérieure des mines de Paris,ALUMNI_OF,
Alain Poher,Sciences Po,ALUMNI_OF,
Abe Shinzō,Đại học Seikei,ALUMNI_OF,
Abe Shinzō,Đại học Nam California,ALUMNI_OF,
Alain Juppé,Sciences Po,ALUMNI_OF,
Alain Juppé,École nationale d'administration,ALUMNI_OF,
Alan García,Complutense University of Madrid,ALUMNI_OF,
Alan García,Đại học Pantheon-Sorbonne,ALUMNI_OF,
Alassane Ouattara,Đại học Drexel,ALUMNI_OF,
Alassane Ouattara,Đại học Pennsylvania,ALUMNI_OF,
Alben W. Barkley,University of Virginia,ALUMNI_OF,
Alenka Bratušek,Đại học Ljubljana,ALUMNI_OF,
Aleksander Kwaśniewski,Đại học Gdańsk,ALUMNI_OF,
Alex Salmond,Đại học St Andrews,ALUMNI_OF,
Alcide De Gasperi,Đại học Viên,ALUMNI_OF,
Alberto Fernández,Đại học Buenos Aires,ALUMNI_OF,
Albert Speer,Đại học Kỹ thuật Berlin,ALUMNI_OF,
Albert Speer,Đại học Kỹ thuật München,ALUMNI_OF,
Alexander Schallenberg,Đại học Panthéon-Assas,ALUMNI_OF,
Albert Gallatin,Đại học Geneva,ALUMNI_OF,
Alexander Stubb,Đại học Paris-Sorbonne,ALUMNI_OF,
Alexander Stubb,Trường Kinh tế London,ALUMNI_OF,
Alberto Fujimori,Đại học Strasbourg,ALUMNI_OF,
Alexandre Millerand,Đại học Paris,ALUMNI_OF,
Alfred Rosenberg,Đại học Kỹ thuật Quốc gia Moskva Bauman,ALUMNI_OF,
Anders Fogh Rasmussen,Đại học Aarhus,ALUMNI_OF,
Amy Coney Barrett,Đại học Notre Dame,ALUMNI_OF,
Alfred Deakin,Đại học Melbourne,ALUMNI_OF,
Andreas Norlén,Đại học Stockholm,ALUMNI_OF,
Andreas Norlén,Đại học Linköping,ALUMNI_OF,
Andrew Giuliani,Duke University,ALUMNI_OF,
Andrus Ansip,Đại học Tartu,ALUMNI_OF,
Allen Dulles,Đại học Princeton,ALUMNI_OF,
Allen Dulles,Cử nhân Nghệ thuật,ALUMNI_OF,
Allen Dulles,Đại học George Washington,ALUMNI_OF,
Andrés Manuel López Obrador,Đại học Tự trị Quốc gia México,ALUMNI_OF,
Alexandria Ocasio-Cortez,Đại học Boston,ALUMNI_OF,
Alexandria Ocasio-Cortez,Cử nhân Nghệ thuật,ALUMNI_OF,
Anneli Jäätteenmäki,Đại học Helsinki,ALUMNI_OF,
Andy Beshear,Đại học Virginia,ALUMNI_OF,
Anthony Eden,Eton College,ALUMNI_OF,
Anthony Albanese,Đại học Sydney,ALUMNI_OF,
Antonio Salandra,Đại học Napoli Federico II,ALUMNI_OF,
Antonis Samaras,Đại học Harvard,ALUMNI_OF,
Angela Merkel,Đại học Leipzig,ALUMNI_OF,
Antti Tulenheimo,Đại học Helsinki,ALUMNI_OF,
Antony Blinken,Đại học Harvard,ALUMNI_OF,
Antony Blinken,Đại học Columbia,ALUMNI_OF,
Antonin Scalia,Đại học Georgetown,ALUMNI_OF,
António Costa,Đại học Lisboa,ALUMNI_OF,
António Guterres,Đại học Lisboa,ALUMNI_OF,
Armand Fallières,Đại học Paris,ALUMNI_OF,
Ashraf Ghani,Đại học Columbia,ALUMNI_OF,
Ariel Sharon,Đại học Hebrew của Jerusalem,ALUMNI_OF,
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Eton College,ALUMNI_OF,
Ardem Patapoutian,"Đại học California, Los Angeles",ALUMNI_OF,
Ardem Patapoutian,Viện Công nghệ California,ALUMNI_OF,
Anthony Fauci,Đại học Cornell,ALUMNI_OF,
Aung San,Đại học Yangon,ALUMNI_OF,
Arthur C. Clarke,Đại học Nhà vua Luân Đôn,ALUMNI_OF,
Asō Tarō,Đại học Stanford,ALUMNI_OF,
Asō Tarō,Trường Kinh tế và Khoa học Chính trị London,ALUMNI_OF,
Asa Hutchinson,Đại học Arkansas,ALUMNI_OF,
Beau Biden,Đại học Pennsylvania,ALUMNI_OF,
Barney Frank,Đại học Harvard,ALUMNI_OF,
Ben Carson,Đại học Yale,ALUMNI_OF,
Ben Carson,Cử nhân Nghệ thuật,ALUMNI_OF,
Ben Carson,Đại học Michigan,ALUMNI_OF,
Bayanqolu,Đại học Cát Lâm,ALUMNI_OF,
"Benigno Aquino, Jr.",Đại học Philippines,ALUMNI_OF,
Ban Ki-moon,Đại học Harvard,ALUMNI_OF,
Bengt Holmström,Đại học Helsinki,ALUMNI_OF,
Bengt Holmström,Đại học Stanford,ALUMNI_OF,
Bashar al-Assad,Đại học Damascus,ALUMNI_OF,
Aung San Suu Kyi,Đại học Oxford,ALUMNI_OF,
Aung San Suu Kyi,Đại học London,ALUMNI_OF,
Benjamin Harrison,Đại học Miami,ALUMNI_OF,
Bill de Blasio,Đại học New York,ALUMNI_OF,
Bill de Blasio,Đại học Columbia,ALUMNI_OF,
Bhimrao Ambedkar,Đại học Columbia,ALUMNI_OF,
Bhimrao Ambedkar,Trường Kinh tế và Khoa học Chính trị Luân Đôn,ALUMNI_OF,
Bertil Ohlin,Đại học Lund,ALUMNI_OF,1917
Bertil Ohlin,Đại học Harvard,ALUMNI_OF,1917
Bertil Ohlin,Đại học Stockholm,ALUMNI_OF,1917
Bettino Craxi,Đại học Milan,ALUMNI_OF,
Bernie Sanders,University of Chicago,ALUMNI_OF,
Bob Woodward,Đại học Yale,ALUMNI_OF,1965
Bob Woodward,Cử nhân Nghệ thuật,ALUMNI_OF,1965
Bohuslav Sobotka,Đại học Masaryk,ALUMNI_OF,
Bill Clinton,Đại học Georgetown,ALUMNI_OF,
Bill Clinton,Trường Dịch vụ Đối ngoại,ALUMNI_OF,
Bill Clinton,Đại học Oxford,ALUMNI_OF,
Bill Clinton,Đại học Yale,ALUMNI_OF,
Bob Hawke,Đại học Tây Úc,ALUMNI_OF,
Bob Hawke,Đại học Oxford,ALUMNI_OF,
Bongbong Marcos,Đại học Oxford,ALUMNI_OF,
Bongbong Marcos,Đại học Pennsylvania,ALUMNI_OF,
Bob Taft,Đại học Yale,ALUMNI_OF,
Bob Taft,Đại học Princeton,ALUMNI_OF,
Boris Tadić,Đại học Beograd,ALUMNI_OF,
Borut Pahor,Đại học Ljubljana,ALUMNI_OF,
Boutros Boutros-Ghali,Đại học Cairo,ALUMNI_OF,
