src_person,dst_person,relation
Abdullah Gül,Recep Tayyip Erdoğan,LINKS_TO
Abdullah Gül,Ahmet Necdet Sezer,LINKS_TO
Abdullah Gül,Turgut Özal,LINKS_TO
Abdullah Gül,Süleyman Demirel,LINKS_TO
Abdullah Abdullah,Hamid Karzai,LINKS_TO
Abdullah Abdullah,Ashraf Ghani,LINKS_TO
Abdullah Abdullah,Joe Biden,LINKS_TO
Abdurrahman Wahid,Megawati Sukarnoputri,LINKS_TO
Adly Mansour,Mohamed Morsi,LINKS_TO
Adly Mansour,Mohamed ElBaradei,LINKS_TO
Adly Mansour,Abdel Fattah el-Sisi,LINKS_TO
Adly Mansour,Hosni Mubarak,LINKS_TO
Adly Mansour,Anwar Al-Sadad,LINKS_TO
Adlai Stevenson I,Garret Hobart,LINKS_TO
Adlai Stevenson I,John Adams,LINKS_TO
Adlai Stevenson I,Thomas Jefferson,LINKS_TO
Adlai Stevenson I,Elbridge Gerry,LINKS_TO
Adlai Stevenson I,Daniel D. Tompkins,LINKS_TO
Adlai Stevenson I,John C. Calhoun,LINKS_TO
Adlai Stevenson I,Richard Mentor Johnson,LINKS_TO
Adlai Stevenson I,John Tyler,LINKS_TO
Adlai Stevenson I,George M. Dallas,LINKS_TO
Adlai Stevenson I,William R. King,LINKS_TO
Adlai Stevenson I,John C. Breckinridge,LINKS_TO
Adlai Stevenson I,William A. Wheeler,LINKS_TO
Adlai Stevenson I,Chester A. Arthur,LINKS_TO
Adlai Stevenson I,Thomas A. Hendricks,LINKS_TO
Adlai Stevenson I,Theodore Roosevelt,LINKS_TO
Adlai Stevenson I,Charles W. Fairbanks,LINKS_TO
Adlai Stevenson I,James S. Sherman,LINKS_TO
Adlai Stevenson I,Thomas R. Marshall,LINKS_TO
Adlai Stevenson I,Calvin Coolidge,LINKS_TO
Adlai Stevenson I,Charles G. Dawes,LINKS_TO
Adlai Stevenson I,John Nance Garner,LINKS_TO
Adlai Stevenson I,Henry A. Wallace,LINKS_TO
Adlai Stevenson I,Harry S. Truman,LINKS_TO
Adlai Stevenson I,Alben W. Barkley,LINKS_TO
Adlai Stevenson I,Richard Nixon,LINKS_TO
Adlai Stevenson I,Lyndon B. Johnson,LINKS_TO
Adlai Stevenson I,Hubert Humphrey,LINKS_TO
Adlai Stevenson I,Gerald Ford,LINKS_TO
Adlai Stevenson I,Nelson Rockefeller,LINKS_TO
Adlai Stevenson I,Walter Mondale,LINKS_TO
Adlai Stevenson I,George H. W. Bush,LINKS_TO
Adlai Stevenson I,Dick Cheney,LINKS_TO
Adlai Stevenson I,Joe Biden,LINKS_TO
Adlai Stevenson I,Mike Pence,LINKS_TO
Adlai Stevenson I,Kamala Harris,LINKS_TO
Adlai Stevenson I,JD Vance,LINKS_TO
A. P. J. Abdul Kalam,Atal Bihari Vajpayee,LINKS_TO
A. P. J. Abdul Kalam,Manmohan Singh,LINKS_TO
A. P. J. Abdul Kalam,K. R. Narayanan,LINKS_TO
A. P. J. Abdul Kalam,Pratibha Patil,LINKS_TO
A. P. J. Abdul Kalam,Rajendra Prasad,LINKS_TO
A. P. J. Abdul Kalam,Sarvepalli Radhakrishnan,LINKS_TO
A. P. J. Abdul Kalam,Zakir Husain (chính trị gia),LINKS_TO
A. P. J. Abdul Kalam,V. V. Giri,LINKS_TO
A. P. J. Abdul Kalam,Mohammad Hidayatullah,LINKS_TO
A. P. J. Abdul Kalam,Fakhruddin Ali Ahmed,LINKS_TO
A. P. J. Abdul Kalam,B. D. Jatti,LINKS_TO
A. P. J. Abdul Kalam,Neelam Sanjiva Reddy,LINKS_TO
A. P. J. Abdul Kalam,Zail Singh,LINKS_TO
A. P. J. Abdul Kalam,R. Venkataraman,LINKS_TO
A. P. J. Abdul Kalam,Shankar Dayal Sharma,LINKS_TO
A. P. J. Abdul Kalam,Pranab Mukherjee,LINKS_TO
A. P. J. Abdul Kalam,Ram Nath Kovind,LINKS_TO
A. P. J. Abdul Kalam,Droupadi Murmu,LINKS_TO
Ahmed Kathrada,Barack Obama,LINKS_TO
Abhisit Vejjajiva,Chavarat Charnvirakul,LINKS_TO
Abhisit Vejjajiva,Yingluck Shinawatra,LINKS_TO
Abhisit Vejjajiva,Suthep Thaugsuban,LINKS_TO
Abhisit Vejjajiva,Thaksin Shinawatra,LINKS_TO
Abhisit Vejjajiva,Samak Sundaravej,LINKS_TO
Abhisit Vejjajiva,Somchai Wongsawat,LINKS_TO
Abhisit Vejjajiva,Đại học Oxford,LINKS_TO
Abhisit Vejjajiva,Lý Hiển Long,LINKS_TO
Abhisit Vejjajiva,Nguyễn Minh Triết,LINKS_TO
Abhisit Vejjajiva,Seni Pramoj,LINKS_TO
Abhisit Vejjajiva,Kukrit Pramoj,LINKS_TO
Abhisit Vejjajiva,Prem Tinsulanonda,LINKS_TO
Abhisit Vejjajiva,Chuan Leekpai,LINKS_TO
Abhisit Vejjajiva,Surayud Chulanont,LINKS_TO
Abhisit Vejjajiva,Niwatthamrong Boonsongpaisan,LINKS_TO
Abhisit Vejjajiva,Prayut Chan-o-cha,LINKS_TO
Abhisit Vejjajiva,Prawit Wongsuwan,LINKS_TO
Abhisit Vejjajiva,Srettha Thavisin,LINKS_TO
Abhisit Vejjajiva,Phumtham Wechayachai,LINKS_TO
Abhisit Vejjajiva,Paetongtarn Shinawatra,LINKS_TO
Abhisit Vejjajiva,Anutin Charnvirakul,LINKS_TO
Abe Nobuyuki,Hiranuma Kiichirō,LINKS_TO
Abe Nobuyuki,Itō Hirobumi,LINKS_TO
Abe Nobuyuki,Saionji Kinmochi,LINKS_TO
Abe Nobuyuki,Hara Takashi,LINKS_TO
Abe Nobuyuki,Katō Tomosaburō,LINKS_TO
Abe Nobuyuki,Katō Takaaki,LINKS_TO
Abe Nobuyuki,Wakatsuki Reijirō,LINKS_TO
Abe Nobuyuki,Tanaka Giichi,LINKS_TO
Abe Nobuyuki,Inukai Tsuyoshi,LINKS_TO
Abe Nobuyuki,Saitō Makoto,LINKS_TO
Abe Nobuyuki,Gotō Fumio,LINKS_TO
Abe Nobuyuki,Itō Masayoshi,LINKS_TO
Abe Nobuyuki,Mori Yoshirō,LINKS_TO
Abe Nobuyuki,Abe Shinzō,LINKS_TO
Abe Nobuyuki,Fukuda Yasuo,LINKS_TO
Abe Nobuyuki,Asō Tarō,LINKS_TO
Abe Nobuyuki,Hatoyama Yukio,LINKS_TO
Abe Nobuyuki,Kan Naoto,LINKS_TO
Abe Nobuyuki,Noda Yoshihiko,LINKS_TO
Abe Nobuyuki,Suga Yoshihide,LINKS_TO
Abe Nobuyuki,Kishida Fumio,LINKS_TO
Abe Nobuyuki,Ishiba Shigeru,LINKS_TO
Abe Nobuyuki,Takaichi Sanae,LINKS_TO
Ahmad Massoud,Abdullah Abdullah,LINKS_TO
Ahmet Necdet Sezer,Abdullah Gül,LINKS_TO
Ahmet Necdet Sezer,Recep Tayyip Erdoğan,LINKS_TO
Ahmet Necdet Sezer,Süleyman Demirel,LINKS_TO
Ahmet Necdet Sezer,Turgut Özal,LINKS_TO
Adolfo Suárez,Francisco Franco,LINKS_TO
Adolfo Suárez,Mariano Rajoy,LINKS_TO
Adolfo Suárez,Pedro Sánchez,LINKS_TO
Abdel Fattah el-Sisi,Adly Mansour,LINKS_TO
Abdel Fattah el-Sisi,Mohamed Morsi,LINKS_TO
Abdel Fattah el-Sisi,Hosni Mubarak,LINKS_TO
Abdel Fattah el-Sisi,Anwar Al-Sadad,LINKS_TO
Alar Karis,Kaja Kallas,LINKS_TO
Ahmet Davutoğlu,Recep Tayyip Erdoğan,LINKS_TO
Ahmet Davutoğlu,Numan Kurtulmuş,LINKS_TO
Ahmet Davutoğlu,Süleyman Demirel,LINKS_TO
