src_person,dst_person,relation
Abdurrahman Wahid,Megawati Sukarnoputri,MENTIONS_PERSON
Abiy Ahmed,Mulatu Teshome,MENTIONS_PERSON
Abiy Ahmed,Hailemariam Desalegn,MENTIONS_PERSON
Abiy Ahmed,Theodore Roosevelt,MENTIONS_PERSON
Abiy Ahmed,Woodrow Wilson,MENTIONS_PERSON
Abiy Ahmed,Charles G. Dawes,MENTIONS_PERSON
Abiy Ahmed,George Marshall,MENTIONS_PERSON
Abiy Ahmed,Philip Noel-Baker,MENTIONS_PERSON
Abiy Ahmed,Dag Hammarskjöld,MENTIONS_PERSON
Abiy Ahmed,Henry Kissinger,MENTIONS_PERSON
Abiy Ahmed,Satō Eisaku,MENTIONS_PERSON
Abiy Ahmed,Anwar Al-Sadad,MENTIONS_PERSON
Abiy Ahmed,Menachem Begin,MENTIONS_PERSON
Abiy Ahmed,Óscar Arias,MENTIONS_PERSON
Abiy Ahmed,Mikhail Sergeyevich Gorbachyov,MENTIONS_PERSON
Abiy Ahmed,Aung San Suu Kyi,MENTIONS_PERSON
Abiy Ahmed,Nelson Mandela,MENTIONS_PERSON
Abiy Ahmed,Shimon Peres,MENTIONS_PERSON
Abiy Ahmed,Kim Dae-jung,MENTIONS_PERSON
Abiy Ahmed,Kofi Annan,MENTIONS_PERSON
Abiy Ahmed,Jimmy Carter,MENTIONS_PERSON
Abiy Ahmed,Mohamed ElBaradei,MENTIONS_PERSON
Abiy Ahmed,Muhammad Yunus,MENTIONS_PERSON
Abiy Ahmed,Martti Ahtisaari,MENTIONS_PERSON
Abiy Ahmed,Barack Obama,MENTIONS_PERSON
Abiy Ahmed,Ellen Johnson Sirleaf,MENTIONS_PERSON
Abiy Ahmed,Malala Yousafzai,MENTIONS_PERSON
Abiy Ahmed,Juan Manuel Santos,MENTIONS_PERSON
Abiy Ahmed,Maria Ressa,MENTIONS_PERSON
Abe Nobuyuki,Hiranuma Kiichirō,MENTIONS_PERSON
Abe Nobuyuki,Itō Hirobumi,MENTIONS_PERSON
Abe Nobuyuki,Saionji Kinmochi,MENTIONS_PERSON
Abe Nobuyuki,Hara Takashi,MENTIONS_PERSON
Abe Nobuyuki,Katō Tomosaburō,MENTIONS_PERSON
Abe Nobuyuki,Katō Takaaki,MENTIONS_PERSON
Abe Nobuyuki,Wakatsuki Reijirō,MENTIONS_PERSON
Abe Nobuyuki,Tanaka Giichi,MENTIONS_PERSON
Abe Nobuyuki,Inukai Tsuyoshi,MENTIONS_PERSON
Abe Nobuyuki,Saitō Makoto,MENTIONS_PERSON
Abe Nobuyuki,Gotō Fumio,MENTIONS_PERSON
Abe Nobuyuki,Itō Masayoshi,MENTIONS_PERSON
Abe Nobuyuki,Mori Yoshirō,MENTIONS_PERSON
Abe Nobuyuki,Abe Shinzō,MENTIONS_PERSON
Abe Nobuyuki,Fukuda Yasuo,MENTIONS_PERSON
Abe Nobuyuki,Asō Tarō,MENTIONS_PERSON
Abe Nobuyuki,Hatoyama Yukio,MENTIONS_PERSON
Abe Nobuyuki,Kan Naoto,MENTIONS_PERSON
Abe Nobuyuki,Noda Yoshihiko,MENTIONS_PERSON
Abe Nobuyuki,Suga Yoshihide,MENTIONS_PERSON
Abe Nobuyuki,Kishida Fumio,MENTIONS_PERSON
Abe Nobuyuki,Ishiba Shigeru,MENTIONS_PERSON
Abe Nobuyuki,Takaichi Sanae,MENTIONS_PERSON
A. P. J. Abdul Kalam,Atal Bihari Vajpayee,MENTIONS_PERSON
A. P. J. Abdul Kalam,Manmohan Singh,MENTIONS_PERSON
A. P. J. Abdul Kalam,K. R. Narayanan,MENTIONS_PERSON
A. P. J. Abdul Kalam,Pratibha Patil,MENTIONS_PERSON
A. P. J. Abdul Kalam,Rajendra Prasad,MENTIONS_PERSON
A. P. J. Abdul Kalam,Sarvepalli Radhakrishnan,MENTIONS_PERSON
A. P. J. Abdul Kalam,Zakir Husain (chính trị gia),MENTIONS_PERSON
A. P. J. Abdul Kalam,V. V. Giri,MENTIONS_PERSON
A. P. J. Abdul Kalam,Mohammad Hidayatullah,MENTIONS_PERSON
A. P. J. Abdul Kalam,Fakhruddin Ali Ahmed,MENTIONS_PERSON
A. P. J. Abdul Kalam,B. D. Jatti,MENTIONS_PERSON
A. P. J. Abdul Kalam,Neelam Sanjiva Reddy,MENTIONS_PERSON
A. P. J. Abdul Kalam,Zail Singh,MENTIONS_PERSON
A. P. J. Abdul Kalam,R. Venkataraman,MENTIONS_PERSON
A. P. J. Abdul Kalam,Shankar Dayal Sharma,MENTIONS_PERSON
A. P. J. Abdul Kalam,Pranab Mukherjee,MENTIONS_PERSON
A. P. J. Abdul Kalam,Ram Nath Kovind,MENTIONS_PERSON
A. P. J. Abdul Kalam,Droupadi Murmu,MENTIONS_PERSON
Abdel Fattah el-Sisi,Adly Mansour,MENTIONS_PERSON
Abdel Fattah el-Sisi,Mohamed Morsi,MENTIONS_PERSON
Abdel Fattah el-Sisi,Hosni Mubarak,MENTIONS_PERSON
Abdel Fattah el-Sisi,Anwar Al-Sadad,MENTIONS_PERSON
Abdullah Abdullah,Hamid Karzai,MENTIONS_PERSON
Abdullah Abdullah,Ashraf Ghani,MENTIONS_PERSON
Abdullah Abdullah,Joe Biden,MENTIONS_PERSON
Adlai Stevenson I,Garret Hobart,MENTIONS_PERSON
Adlai Stevenson I,John Adams,MENTIONS_PERSON
Adlai Stevenson I,Thomas Jefferson,MENTIONS_PERSON
Adlai Stevenson I,Elbridge Gerry,MENTIONS_PERSON
Adlai Stevenson I,Daniel D. Tompkins,MENTIONS_PERSON
Adlai Stevenson I,John C. Calhoun,MENTIONS_PERSON
