src_person,dst_university,relation
Abiy Ahmed,Đại học Greenwich,MENTIONS_UNIVERSITY
Abdullah Gül,Đại học Istanbul,MENTIONS_UNIVERSITY
Abdullah Gül,Đại học Exeter,MENTIONS_UNIVERSITY
Adly Mansour,Đại học Cairo,MENTIONS_UNIVERSITY
Adly Mansour,École nationale d'administration,MENTIONS_UNIVERSITY
Abhisit Vejjajiva,Eton College,MENTIONS_UNIVERSITY
Abhisit Vejjajiva,Đại học Thammasat,MENTIONS_UNIVERSITY
Ahmad Massoud,Đại học Hoàng đế Luân Đôn,MENTIONS_UNIVERSITY
Ahmad Massoud,Đại học London,MENTIONS_UNIVERSITY
Alain Poher,École nationale supérieure des mines de Paris,MENTIONS_UNIVERSITY
Alain Poher,Sciences Po,MENTIONS_UNIVERSITY
Alar Karis,Đại học Tartu,MENTIONS_UNIVERSITY
Abe Shinzō,Đại học Seikei,MENTIONS_UNIVERSITY
Abe Shinzō,Đại học Nam California,MENTIONS_UNIVERSITY
Alain Juppé,Sciences Po,MENTIONS_UNIVERSITY
Alain Juppé,École nationale d'administration,MENTIONS_UNIVERSITY
Alan García,Complutense University of Madrid,MENTIONS_UNIVERSITY
Alan García,Đại học Pantheon-Sorbonne,MENTIONS_UNIVERSITY
Alassane Ouattara,Đại học Drexel,MENTIONS_UNIVERSITY
Alassane Ouattara,Đại học Pennsylvania,MENTIONS_UNIVERSITY
Alben W. Barkley,University of Virginia,MENTIONS_UNIVERSITY
Alenka Bratušek,Đại học Ljubljana,MENTIONS_UNIVERSITY
Aleksander Kwaśniewski,Đại học Gdańsk,MENTIONS_UNIVERSITY
Alex Salmond,Đại học St Andrews,MENTIONS_UNIVERSITY
Alcide De Gasperi,Đại học Viên,MENTIONS_UNIVERSITY
Alberto Fernández,Đại học Buenos Aires,MENTIONS_UNIVERSITY
Albert Speer,Đại học Kỹ thuật Berlin,MENTIONS_UNIVERSITY
Albert Speer,Đại học Kỹ thuật München,MENTIONS_UNIVERSITY
Alexander Schallenberg,Đại học Panthéon-Assas,MENTIONS_UNIVERSITY
Albert Gallatin,Đại học Geneva,MENTIONS_UNIVERSITY
Alexander Stubb,Đại học Paris-Sorbonne,MENTIONS_UNIVERSITY
Alexander Stubb,Trường Kinh tế London,MENTIONS_UNIVERSITY
Alberto Fujimori,Đại học Strasbourg,MENTIONS_UNIVERSITY
Alexandre Millerand,Đại học Paris,MENTIONS_UNIVERSITY
Alexander Van der Bellen,Đại học Viên,MENTIONS_UNIVERSITY
Alec Douglas-Home,Eton College,MENTIONS_UNIVERSITY
Alfred Rosenberg,Đại học Kỹ thuật Quốc gia Moskva Bauman,MENTIONS_UNIVERSITY
Anders Fogh Rasmussen,Đại học Aarhus,MENTIONS_UNIVERSITY
Amy Coney Barrett,Đại học Notre Dame,MENTIONS_UNIVERSITY
Alfred Deakin,Đại học Melbourne,MENTIONS_UNIVERSITY
Andreas Norlén,Đại học Stockholm,MENTIONS_UNIVERSITY
Andreas Norlén,Đại học Linköping,MENTIONS_UNIVERSITY
Andrew Giuliani,Duke University,MENTIONS_UNIVERSITY
Andrew Giuliani,Đại học Duke,MENTIONS_UNIVERSITY
Andrus Ansip,Đại học Tartu,MENTIONS_UNIVERSITY
Allen Dulles,Đại học Princeton,MENTIONS_UNIVERSITY
Allen Dulles,Cử nhân Nghệ thuật,MENTIONS_UNIVERSITY
Allen Dulles,Đại học George Washington,MENTIONS_UNIVERSITY
Amartya Sen,Trường Kinh tế London,MENTIONS_UNIVERSITY
Amartya Sen,Đại học Cornell,MENTIONS_UNIVERSITY
Amartya Sen,Đại học Calcutta,MENTIONS_UNIVERSITY
Amartya Sen,"Đại học California, Berkeley",MENTIONS_UNIVERSITY
Andrés Manuel López Obrador,Đại học Tự trị Quốc gia México,MENTIONS_UNIVERSITY
Alexandria Ocasio-Cortez,Đại học Boston,MENTIONS_UNIVERSITY
Alexandria Ocasio-Cortez,Cử nhân Nghệ thuật,MENTIONS_UNIVERSITY
Anneli Jäätteenmäki,Đại học Helsinki,MENTIONS_UNIVERSITY
Andy Beshear,Đại học Virginia,MENTIONS_UNIVERSITY
Anthony Eden,Eton College,MENTIONS_UNIVERSITY
Anthony Albanese,Đại học Sydney,MENTIONS_UNIVERSITY
Antonio Salandra,Đại học Napoli Federico II,MENTIONS_UNIVERSITY
Angela Merkel,Đại học Leipzig,MENTIONS_UNIVERSITY
Antti Tulenheimo,Đại học Helsinki,MENTIONS_UNIVERSITY
Antony Blinken,Đại học Columbia,MENTIONS_UNIVERSITY
Antonin Scalia,Đại học Georgetown,MENTIONS_UNIVERSITY
Antonin Scalia,Trường Luật Harvard,MENTIONS_UNIVERSITY
Antonin Scalia,Đại học Virginia,MENTIONS_UNIVERSITY
Antonin Scalia,Đại học Chicago,MENTIONS_UNIVERSITY
António Costa,Đại học Lisboa,MENTIONS_UNIVERSITY
António Guterres,Đại học Lisboa,MENTIONS_UNIVERSITY
Armand Fallières,Đại học Paris,MENTIONS_UNIVERSITY
Ashraf Ghani,Đại học Columbia,MENTIONS_UNIVERSITY
Ashraf Ghani,Đại học Johns Hopkins,MENTIONS_UNIVERSITY
Ariel Sharon,Đại học Hebrew của Jerusalem,MENTIONS_UNIVERSITY
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Eton College,MENTIONS_UNIVERSITY
Ardem Patapoutian,"Đại học California, Los Angeles",MENTIONS_UNIVERSITY
Ardem Patapoutian,Viện Công nghệ California,MENTIONS_UNIVERSITY
Anthony Fauci,Đại học Cornell,MENTIONS_UNIVERSITY
Anthony Fauci,Đại học Colgate,MENTIONS_UNIVERSITY
Aung San,Đại học Yangon,MENTIONS_UNIVERSITY
Arthur C. Clarke,Đại học Nhà vua Luân Đôn,MENTIONS_UNIVERSITY
Asō Tarō,Trường Kinh tế và Khoa học Chính trị London,MENTIONS_UNIVERSITY
Asō Tarō,Trường Kinh tế và Khoa học Chính trị Luân Đôn,MENTIONS_UNIVERSITY
Asa Hutchinson,Đại học Arkansas,MENTIONS_UNIVERSITY
Beau Biden,Đại học Pennsylvania,MENTIONS_UNIVERSITY
