src_person,dst_person,relation,count
Abdullah Gül,Moshe Sharett,SHARED_UNI,1
Abdullah Gül,Numan Kurtulmuş,SHARED_UNI,1
Moshe Sharett,Numan Kurtulmuş,SHARED_UNI,1
Abdullah Gül,J. K. Rowling,SHARED_UNI,1
Abdullah Gül,Zara Tindall,SHARED_UNI,1
J. K. Rowling,Zara Tindall,SHARED_UNI,1
Adly Mansour,Alain Juppé,SHARED_UNI,1
Adly Mansour,Dominique de Villepin,SHARED_UNI,1
Adly Mansour,Emmanuel Macron,SHARED_UNI,1
Adly Mansour,François Hollande,SHARED_UNI,1
Adly Mansour,Jacques Chirac,SHARED_UNI,1
Adly Mansour,Michel Rocard,SHARED_UNI,1
Alain Juppé,Dominique de Villepin,SHARED_UNI,1
Alain Juppé,Emmanuel Macron,SHARED_UNI,2
Alain Juppé,François Hollande,SHARED_UNI,2
Alain Juppé,Jacques Chirac,SHARED_UNI,1
Alain Juppé,Michel Rocard,SHARED_UNI,2
Dominique de Villepin,Emmanuel Macron,SHARED_UNI,1
Dominique de Villepin,François Hollande,SHARED_UNI,1
Dominique de Villepin,Jacques Chirac,SHARED_UNI,1
Dominique de Villepin,Michel Rocard,SHARED_UNI,1
Emmanuel Macron,François Hollande,SHARED_UNI,2
Emmanuel Macron,Jacques Chirac,SHARED_UNI,1
Emmanuel Macron,Michel Rocard,SHARED_UNI,2
François Hollande,Jacques Chirac,SHARED_UNI,1
François Hollande,Michel Rocard,SHARED_UNI,2
Jacques Chirac,Michel Rocard,SHARED_UNI,1
Adly Mansour,Boutros Boutros-Ghali,SHARED_UNI,1
Adly Mansour,Mohamed Morsi,SHARED_UNI,1
Adly Mansour,Mohamed ElBaradei,SHARED_UNI,1
Adly Mansour,Mostafa Madbouly,SHARED_UNI,1
Boutros Boutros-Ghali,Mohamed Morsi,SHARED_UNI,1
Boutros Boutros-Ghali,Mohamed ElBaradei,SHARED_UNI,1
Boutros Boutros-Ghali,Mostafa Madbouly,SHARED_UNI,1
Mohamed ElBaradei,Mohamed Morsi,SHARED_UNI,1
Mohamed Morsi,Mostafa Madbouly,SHARED_UNI,1
Mohamed ElBaradei,Mostafa Madbouly,SHARED_UNI,1
Abhisit Vejjajiva,Anthony Eden,SHARED_UNI,1
Abhisit Vejjajiva,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",SHARED_UNI,1
Abhisit Vejjajiva,Boris Johnson,SHARED_UNI,1
Abhisit Vejjajiva,George Canning,SHARED_UNI,1
Abhisit Vejjajiva,George Grenville,SHARED_UNI,1
Abhisit Vejjajiva,Robert Bridges,SHARED_UNI,1
Anthony Eden,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",SHARED_UNI,1
Anthony Eden,Boris Johnson,SHARED_UNI,1
Anthony Eden,George Canning,SHARED_UNI,1
Anthony Eden,George Grenville,SHARED_UNI,1
Anthony Eden,Robert Bridges,SHARED_UNI,1
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Boris Johnson,SHARED_UNI,1
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",George Canning,SHARED_UNI,1
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",George Grenville,SHARED_UNI,1
"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Robert Bridges,SHARED_UNI,1
Boris Johnson,George Canning,SHARED_UNI,1
Boris Johnson,George Grenville,SHARED_UNI,1
Boris Johnson,Robert Bridges,SHARED_UNI,1
George Canning,George Grenville,SHARED_UNI,1
George Canning,Robert Bridges,SHARED_UNI,1
George Grenville,Robert Bridges,SHARED_UNI,1
Ahmad Massoud,Aung San Suu Kyi,SHARED_UNI,1
Ahmad Massoud,Chaim Herzog,SHARED_UNI,1
Ahmad Massoud,Htin Kyaw,SHARED_UNI,1
Ahmad Massoud,Itō Hirobumi,SHARED_UNI,1
Ahmad Massoud,Jacek Rostowski,SHARED_UNI,1
Ahmad Massoud,Koizumi Junichirō,SHARED_UNI,1
Ahmad Massoud,Nelson Mandela,SHARED_UNI,1
Ahmad Massoud,Robert Mugabe,SHARED_UNI,1
Ahmad Massoud,Thái Anh Văn,SHARED_UNI,1
Ahmad Massoud,Tom Wolf,SHARED_UNI,1
Aung San Suu Kyi,Chaim Herzog,SHARED_UNI,1
Aung San Suu Kyi,Htin Kyaw,SHARED_UNI,1
Aung San Suu Kyi,Itō Hirobumi,SHARED_UNI,1
Aung San Suu Kyi,Jacek Rostowski,SHARED_UNI,1
Aung San Suu Kyi,Koizumi Junichirō,SHARED_UNI,1
Aung San Suu Kyi,Nelson Mandela,SHARED_UNI,1
Aung San Suu Kyi,Robert Mugabe,SHARED_UNI,1
Aung San Suu Kyi,Thái Anh Văn,SHARED_UNI,1
Aung San Suu Kyi,Tom Wolf,SHARED_UNI,1
Chaim Herzog,Htin Kyaw,SHARED_UNI,1
Chaim Herzog,Itō Hirobumi,SHARED_UNI,1
Chaim Herzog,Jacek Rostowski,SHARED_UNI,1
Chaim Herzog,Koizumi Junichirō,SHARED_UNI,1
Chaim Herzog,Nelson Mandela,SHARED_UNI,1
Chaim Herzog,Robert Mugabe,SHARED_UNI,1
Chaim Herzog,Thái Anh Văn,SHARED_UNI,1
Chaim Herzog,Tom Wolf,SHARED_UNI,1
Htin Kyaw,Itō Hirobumi,SHARED_UNI,1
Htin Kyaw,Jacek Rostowski,SHARED_UNI,1
Htin Kyaw,Koizumi Junichirō,SHARED_UNI,1
Htin Kyaw,Nelson Mandela,SHARED_UNI,1
Htin Kyaw,Robert Mugabe,SHARED_UNI,1
Htin Kyaw,Thái Anh Văn,SHARED_UNI,1
Htin Kyaw,Tom Wolf,SHARED_UNI,1
Itō Hirobumi,Jacek Rostowski,SHARED_UNI,1
Itō Hirobumi,Koizumi Junichirō,SHARED_UNI,1
Itō Hirobumi,Nelson Mandela,SHARED_UNI,1
Itō Hirobumi,Robert Mugabe,SHARED_UNI,1
Itō Hirobumi,Thái Anh Văn,SHARED_UNI,1
Itō Hirobumi,Tom Wolf,SHARED_UNI,1
Jacek Rostowski,Koizumi Junichirō,SHARED_UNI,1
Jacek Rostowski,Nelson Mandela,SHARED_UNI,1
Jacek Rostowski,Robert Mugabe,SHARED_UNI,1
Jacek Rostowski,Thái Anh Văn,SHARED_UNI,1
Jacek Rostowski,Tom Wolf,SHARED_UNI,1
Koizumi Junichirō,Nelson Mandela,SHARED_UNI,1
Koizumi Junichirō,Robert Mugabe,SHARED_UNI,1
Koizumi Junichirō,Thái Anh Văn,SHARED_UNI,1
Koizumi Junichirō,Tom Wolf,SHARED_UNI,1
Nelson Mandela,Robert Mugabe,SHARED_UNI,1
Nelson Mandela,Thái Anh Văn,SHARED_UNI,1
Nelson Mandela,Tom Wolf,SHARED_UNI,1
Robert Mugabe,Thái Anh Văn,SHARED_UNI,1
Robert Mugabe,Tom Wolf,SHARED_UNI,1
Thái Anh Văn,Tom Wolf,SHARED_UNI,1
Alain Juppé,Alain Poher,SHARED_UNI,1
Alain Poher,Chandrika Kumaratunga,SHARED_UNI,1
Alain Poher,Dominique Strauss-Kahn,SHARED_UNI,1
Alain Poher,Emmanuel Macron,SHARED_UNI,1
Alain Poher,François Hollande,SHARED_UNI,1
Alain Poher,François Mitterrand,SHARED_UNI,1
Alain Poher,Gabriel Attal,SHARED_UNI,1
Alain Poher,Georges Pompidou,SHARED_UNI,1
Alain Poher,Jacques Chaban-Delmas,SHARED_UNI,1
Alain Poher,Laurent Fabius,SHARED_UNI,1
Alain Poher,Michel Debré,SHARED_UNI,1
Alain Poher,Michel Rocard,SHARED_UNI,1
Alain Poher,Nicolas Sarkozy,SHARED_UNI,1
Alain Poher,Édouard Philippe,SHARED_UNI,1
Alain Juppé,Chandrika Kumaratunga,SHARED_UNI,1
Alain Juppé,Dominique Strauss-Kahn,SHARED_UNI,1
Alain Juppé,François Mitterrand,SHARED_UNI,1
Alain Juppé,Gabriel Attal,SHARED_UNI,1
Alain Juppé,Georges Pompidou,SHARED_UNI,1
Alain Juppé,Jacques Chaban-Delmas,SHARED_UNI,1
Alain Juppé,Laurent Fabius,SHARED_UNI,1
Alain Juppé,Michel Debré,SHARED_UNI,1
Alain Juppé,Nicolas Sarkozy,SHARED_UNI,1
Alain Juppé,Édouard Philippe,SHARED_UNI,1
Chandrika Kumaratunga,Dominique Strauss-Kahn,SHARED_UNI,1
Chandrika Kumaratunga,Emmanuel Macron,SHARED_UNI,1
Chandrika Kumaratunga,François Hollande,SHARED_UNI,1
Chandrika Kumaratunga,François Mitterrand,SHARED_UNI,1
Chandrika Kumaratunga,Gabriel Attal,SHARED_UNI,1
Chandrika Kumaratunga,Georges Pompidou,SHARED_UNI,1
Chandrika Kumaratunga,Jacques Chaban-Delmas,SHARED_UNI,1
Chandrika Kumaratunga,Laurent Fabius,SHARED_UNI,1
Chandrika Kumaratunga,Michel Debré,SHARED_UNI,1
Chandrika Kumaratunga,Michel Rocard,SHARED_UNI,1
Chandrika Kumaratunga,Nicolas Sarkozy,SHARED_UNI,1
Chandrika Kumaratunga,Édouard Philippe,SHARED_UNI,1
Dominique Strauss-Kahn,Emmanuel Macron,SHARED_UNI,2
Dominique Strauss-Kahn,François Hollande,SHARED_UNI,1
Dominique Strauss-Kahn,François Mitterrand,SHARED_UNI,1
Dominique Strauss-Kahn,Gabriel Attal,SHARED_UNI,1
Dominique Strauss-Kahn,Georges Pompidou,SHARED_UNI,1
