src_university,dst_person,relation
Eton College,David Cameron,UNI_MENTIONS_PERSON
Eton College,Vương tôn William xứ Gloucester,UNI_MENTIONS_PERSON
Eton College,Robert Walpole,UNI_MENTIONS_PERSON
Eton College,George Grenville,UNI_MENTIONS_PERSON
Eton College,George Canning,UNI_MENTIONS_PERSON
Eton College,Anthony Eden,UNI_MENTIONS_PERSON
Eton College,Alec Douglas-Home,UNI_MENTIONS_PERSON
Eton College,Boris Johnson,UNI_MENTIONS_PERSON
Eton College,Abhisit Vejjajiva,UNI_MENTIONS_PERSON
Eton College,Robert Bridges,UNI_MENTIONS_PERSON
Học viện Công nghệ Georgia,Viện Công nghệ Massachusetts,UNI_MENTIONS_PERSON
Học viện Công nghệ Georgia,Theodore Roosevelt,UNI_MENTIONS_PERSON
Học viện Công nghệ Georgia,Jimmy Carter,UNI_MENTIONS_PERSON
Học viện Công nghệ Georgia,Ronald Reagan,UNI_MENTIONS_PERSON
Học viện Hải quân Hoa Kỳ,Jimmy Carter,UNI_MENTIONS_PERSON
Học viện Hải quân Hoa Kỳ,Robert A. Heinlein,UNI_MENTIONS_PERSON
Học viện Hải quân Hoa Kỳ,John McCain,UNI_MENTIONS_PERSON
Học viện Hải quân Hoa Kỳ,Jim Webb,UNI_MENTIONS_PERSON
Học viện Mỹ thuật Jan Matejko,Jan Matejko,UNI_MENTIONS_PERSON
Học viện Nghệ thuật Hoàng gia Nga,Ilya Yefimovich Repin,UNI_MENTIONS_PERSON
Trường Harrow,Winston Churchill,UNI_MENTIONS_PERSON
Trường Harrow,Jawaharlal Nehru,UNI_MENTIONS_PERSON
Trường Luật Harvard,Đại học Harvard,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Bill Clinton,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,George Tenet,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Chuck Hagel,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Aleksander Kwaśniewski,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Đại học Harvard,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Henry Kissinger,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Anthony Lake,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Álvaro Uribe,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,José Manuel Barroso,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Gloria Macapagal Arroyo,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Laura Chinchilla,UNI_MENTIONS_PERSON
Trường Dịch vụ Đối ngoại,Kofi Annan,UNI_MENTIONS_PERSON
