src_university,dst_university,relation
Complutense University of Madrid,Đại học Complutense Madrid,UNIVERSITY_MENTIONS_UNIVERSITY
Cornell University,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Duke University,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Georgetown University,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Eton College,Trường Harrow,UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Hải quân Đại Liên,Đại học,UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Hải quân Đế quốc Nhật Bản,Trường Sĩ quan Lục quân (Đế quốc Nhật Bản),UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Công nghệ Georgia,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Công nghệ Georgia,Học viện Hải quân Hoa Kỳ,UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Nghệ thuật Hoàng gia,Học viện Nghệ thuật Hoàng gia Nga,UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Mỹ thuật Jan Matejko,Đại học Jagiellonia,UNIVERSITY_MENTIONS_UNIVERSITY
Học viện Quân sự Hoa Kỳ,Học viện Hải quân Hoa Kỳ,UNIVERSITY_MENTIONS_UNIVERSITY
Kansas State University,Đại học Tiểu bang Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
New York University,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Sciences Po,Viện Nghiên cứu Chính trị Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Kinh tế Luân Đôn,Trường Kinh tế và Khoa học Chính trị Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Kinh tế London,Trường Kinh tế và Khoa học Chính trị Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Kinh tế và Khoa học Chính trị London,Trường Kinh tế và Khoa học Chính trị Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Harrow,Eton College,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Dịch vụ Đối ngoại,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
