from,to,type,weight
Mitt Romney,Đại học Stanford,alumni_of,1
Mitt Romney,Đại học Harvard,alumni_of,1
George W. Bush,Đại học Yale,alumni_of,1
George W. Bush,Đại học Harvard,alumni_of,1
Paul Ryan,Đại học Miami,alumni_of,1
Michelle Obama,Đại học Princeton,alumni_of,1
Michelle Obama,Đại học Harvard,alumni_of,1
Barack Obama,Đại học Columbia,alumni_of,1
Barack Obama,Đại học Harvard,alumni_of,1
Bill Clinton,Đại học Georgetown,alumni_of,1
Bill Clinton,Trường Dịch vụ Đối ngoại,alumni_of,1
Bill Clinton,Đại học Oxford,alumni_of,1
Bill Clinton,Đại học Yale,alumni_of,1
Hillary Clinton,Đại học Yale,alumni_of,1
Donald Trump,Đại học Pennsylvania,alumni_of,1
John McCain,Học viện Hải quân Hoa Kỳ,alumni_of,1
David Petraeus,United States Military Academy,alumni_of,1
David Petraeus,Đại học Princeton,alumni_of,1
Dmitry Anatolyevich Medvedev,Đại học Tổng hợp Sankt-Peterburg,alumni_of,1
Shimon Peres,The New School,alumni_of,1
Shimon Peres,Đại học New York,alumni_of,1
Shimon Peres,Đại học Harvard,alumni_of,1
Calvin Coolidge,Đại học Amherst,alumni_of,1
David Cameron,Đại học Oxford,alumni_of,1
Bashar al-Assad,Đại học Damascus,alumni_of,1
Benjamin Netanyahu,Viện Công nghệ Massachusetts,alumni_of,1
Benjamin Netanyahu,Đại học Harvard,alumni_of,1
John Adams,Đại học Harvard,alumni_of,1
Joe Biden,Đại học Delaware,alumni_of,1
Dick Cheney,Đại học Yale,alumni_of,1
Dick Cheney,Đại học Wyoming,alumni_of,1
Nelson Mandela,Đại học London,alumni_of,1
Nelson Mandela,Đại học Witwatersrand,alumni_of,1
John Quincy Adams,Đại học Harvard,alumni_of,1
Ronald Reagan,Đại học Eureka,alumni_of,1
Margaret Thatcher,Somerville College,alumni_of,1
Margaret Thatcher,Đại học Oxford,alumni_of,1
James Madison,Đại học Princeton,alumni_of,1
James Monroe,Đại học William & Mary,alumni_of,1
Franklin D. Roosevelt,Đại học Harvard,alumni_of,1
Thomas Jefferson,Đại học William và Mary,alumni_of,1
William Henry Harrison,Đại học Pennsylvania,alumni_of,1
John Tyler,Đại học William & Mary,alumni_of,1
James K. Polk,Đại học North Carolina ở Chapel Hill,alumni_of,1
Benjamin Harrison,Đại học Miami,alumni_of,1
Herbert Hoover,Đại học Stanford,alumni_of,1
William Howard Taft,Đại học Yale,alumni_of,1
Theodore Roosevelt,Đại học Harvard,alumni_of,1
Woodrow Wilson,Đại học Princeton,alumni_of,1
Woodrow Wilson,Đại học Johns Hopkins,alumni_of,1
James Buchanan,Đại học Dickinson,alumni_of,1
Gerald Ford,Đại học Michigan,alumni_of,1
Gerald Ford,Đại học Yale,alumni_of,1
Dwight D. Eisenhower,Học viện Quân sự Hoa Kỳ,alumni_of,1
George H. W. Bush,Đại học Yale,alumni_of,1
Charles G. Dawes,Trường Cao đẳng Marietta,alumni_of,1
Charles G. Dawes,Đại học Cincinnati,alumni_of,1
Dag Hammarskjöld,Đại học Uppsala,alumni_of,1
Dag Hammarskjöld,Đại học Stockholm,alumni_of,1
Menachem Begin,Đại học Warsaw,alumni_of,1
Ulysses S. Grant,Học viện Quân sự Hoa Kỳ,alumni_of,1
John F. Kennedy,Đại học Harvard,alumni_of,1
Henry Kissinger,Đại học Harvard,alumni_of,1
Óscar Arias,Boston University,alumni_of,1
Óscar Arias,University of Costa Rica,alumni_of,1
Óscar Arias,University of Essex,alumni_of,1
Jimmy Carter,Học viện Công nghệ Georgia,alumni_of,1
Jimmy Carter,Học viện Hải quân Hoa Kỳ,alumni_of,1
Mohamed ElBaradei,Đại học Cairo,alumni_of,1
Mohamed ElBaradei,Đại học New York,alumni_of,1
Satō Eisaku,Đại học Tokyo,alumni_of,1
Martti Ahtisaari,Đại học Oulu,alumni_of,1
Ellen Johnson Sirleaf,Đại học Wisconsin–Madison,alumni_of,1
Muhammad Yunus,Chittagong College,alumni_of,1
Muhammad Yunus,Đại học Dhaka,alumni_of,1
Muhammad Yunus,Đại học Vanderbilt,alumni_of,1
Richard Nixon,Trường Luật Đại học Duke,alumni_of,1
Abiy Ahmed,Đại học Greenwich,alumni_of,1
Rudy Giuliani,New York University,alumni_of,1
Juan Manuel Santos,Đại học Kansas,alumni_of,1
Juan Manuel Santos,Trường Kinh tế và Khoa học Chính trị Luân Đôn,alumni_of,1
Juan Manuel Santos,Đại học Harvard,alumni_of,1
Mikhail Sergeyevich Gorbachyov,Đại học Quốc gia Moskva,alumni_of,1
Maria Ressa,Đại học Princeton,alumni_of,1
Angela Merkel,Đại học Leipzig,alumni_of,1
Isaac Asimov,Đại học Columbia,alumni_of,1
Aung San Suu Kyi,Đại học Oxford,alumni_of,1
Aung San Suu Kyi,Đại học London,alumni_of,1
Ron DeSantis,Đại học Yale,alumni_of,1
Ron DeSantis,Đại học Harvard,alumni_of,1
John Foster Dulles,Đại học Princeton,alumni_of,1
John Foster Dulles,Đại học George Washington,alumni_of,1
Konrad Adenauer,Đại học Freiburg,alumni_of,1
Konrad Adenauer,Đại học Ludwig Maximilian München,alumni_of,1
Konrad Adenauer,Đại học Bonn,alumni_of,1
Newt Gingrich,Đại học Emory,alumni_of,1
Newt Gingrich,Đại học Tulane,alumni_of,1
Charles de Gaulle,École spéciale militaire de Saint-Cyr,alumni_of,1
Vladimir Vladimirovich Putin,Đại học Tổng hợp Sankt-Peterburg,alumni_of,1
Kamala Harris,Đại học Howard,alumni_of,1
Kamala Harris,Trường Luật Hastings,alumni_of,1
Lawrence Summers,Viện Công nghệ Massachusetts,alumni_of,1
Lawrence Summers,Đại học Harvard,alumni_of,1
Harry R. Lewis,Đại học Harvard,alumni_of,1
Winston Churchill,Trường Harrow,alumni_of,1
Đặng Tiểu Bình,Đại học Tôn Trung Sơn Moskva,alumni_of,1
Guido Westerwelle,Đại học Bonn,alumni_of,1
Wolfgang Schäuble,Đại học Freiburg,alumni_of,1
Wolfgang Schäuble,Đại học Hamburg,alumni_of,1
Ban Ki-moon,Đại học Harvard,alumni_of,1
Horst Köhler,Đại học Tübingen,alumni_of,1
Helmut Kohl,Đại học Heidelberg,alumni_of,1
Olaf Scholz,Đại học Hamburg,alumni_of,1
Sigmar Gabriel,Đại học Göttingen,alumni_of,1
Jacques Chirac,École nationale d'administration,alumni_of,1
Robert Mugabe,Đại học London,alumni_of,1
