src_university,dst_person,relation,year
Đại học Stanford,Mitt Romney,ALUMNI_OF,
Đại học Harvard,Mitt Romney,ALUMNI_OF,
Đại học Yale,George W. Bush,ALUMNI_OF,
Đại học Harvard,George W. Bush,ALUMNI_OF,
Đại học Miami,Paul Ryan,ALUMNI_OF,
Đại học Princeton,Michelle Obama,ALUMNI_OF,
Đại học Harvard,Michelle Obama,ALUMNI_OF,
Đại học Columbia,Barack Obama,ALUMNI_OF,
Đại học Harvard,Barack Obama,ALUMNI_OF,
Đại học Georgetown,Bill Clinton,ALUMNI_OF,
Trường Dịch vụ Đối ngoại,Bill Clinton,ALUMNI_OF,
Đại học Oxford,Bill Clinton,ALUMNI_OF,
Đại học Oxford,Bill Clinton,ALUMNI_OF,
Đại học Yale,Bill Clinton,ALUMNI_OF,
Đại học Yale,Hillary Clinton,ALUMNI_OF,
Đại học Pennsylvania,Donald Trump,ALUMNI_OF,
Học viện Hải quân Hoa Kỳ,John McCain,ALUMNI_OF,
United States Military Academy,David Petraeus,ALUMNI_OF,
Đại học Princeton,David Petraeus,ALUMNI_OF,
Đại học Tổng hợp Sankt-Peterburg,Dmitry Anatolyevich Medvedev,ALUMNI_OF,
The New School,Shimon Peres,ALUMNI_OF,
Đại học New York,Shimon Peres,ALUMNI_OF,
Đại học Harvard,Shimon Peres,ALUMNI_OF,
Đại học Amherst,Calvin Coolidge,ALUMNI_OF,
Đại học Oxford,David Cameron,ALUMNI_OF,
Đại học Damascus,Bashar al-Assad,ALUMNI_OF,
Viện Công nghệ Massachusetts,Benjamin Netanyahu,ALUMNI_OF,
Đại học Harvard,Benjamin Netanyahu,ALUMNI_OF,
Đại học Harvard,John Adams,ALUMNI_OF,
Đại học Delaware,Joe Biden,ALUMNI_OF,
Đại học Yale,Dick Cheney,ALUMNI_OF,
Đại học Wyoming,Dick Cheney,ALUMNI_OF,
Đại học London,Nelson Mandela,ALUMNI_OF,
Đại học Witwatersrand,Nelson Mandela,ALUMNI_OF,
Đại học Harvard,John Quincy Adams,ALUMNI_OF,
Đại học Eureka,Ronald Reagan,ALUMNI_OF,
Somerville College,Margaret Thatcher,ALUMNI_OF,
Đại học Oxford,Margaret Thatcher,ALUMNI_OF,
Đại học Princeton,James Madison,ALUMNI_OF,
Đại học William & Mary,James Monroe,ALUMNI_OF,
Đại học Harvard,Franklin D. Roosevelt,ALUMNI_OF,
Đại học William và Mary,Thomas Jefferson,ALUMNI_OF,
Đại học Pennsylvania,William Henry Harrison,ALUMNI_OF,
Đại học William & Mary,John Tyler,ALUMNI_OF,
Đại học North Carolina ở Chapel Hill,James K. Polk,ALUMNI_OF,
Đại học Miami,Benjamin Harrison,ALUMNI_OF,
Đại học Stanford,Herbert Hoover,ALUMNI_OF,
Đại học Yale,William Howard Taft,ALUMNI_OF,
Đại học Harvard,Theodore Roosevelt,ALUMNI_OF,
Đại học Princeton,Woodrow Wilson,ALUMNI_OF,
Đại học Johns Hopkins,Woodrow Wilson,ALUMNI_OF,
Đại học Dickinson,James Buchanan,ALUMNI_OF,
Đại học Michigan,Gerald Ford,ALUMNI_OF,
Đại học Yale,Gerald Ford,ALUMNI_OF,
Học viện Quân sự Hoa Kỳ,Dwight D. Eisenhower,ALUMNI_OF,
Đại học Yale,George H. W. Bush,ALUMNI_OF,
Trường Cao đẳng Marietta,Charles G. Dawes,ALUMNI_OF,
Đại học Cincinnati,Charles G. Dawes,ALUMNI_OF,
Đại học Uppsala,Dag Hammarskjöld,ALUMNI_OF,
Đại học Stockholm,Dag Hammarskjöld,ALUMNI_OF,
Đại học Warsaw,Menachem Begin,ALUMNI_OF,
Học viện Quân sự Hoa Kỳ,Ulysses S. Grant,ALUMNI_OF,
Đại học Harvard,John F. Kennedy,ALUMNI_OF,
Đại học Harvard,Henry Kissinger,ALUMNI_OF,
Boston University,Óscar Arias,ALUMNI_OF,
University of Costa Rica,Óscar Arias,ALUMNI_OF,
University of Essex,Óscar Arias,ALUMNI_OF,
Học viện Công nghệ Georgia,Jimmy Carter,ALUMNI_OF,
Học viện Hải quân Hoa Kỳ,Jimmy Carter,ALUMNI_OF,
Đại học Cairo,Mohamed ElBaradei,ALUMNI_OF,
Đại học New York,Mohamed ElBaradei,ALUMNI_OF,
Đại học Tokyo,Satō Eisaku,ALUMNI_OF,
Đại học Oulu,Martti Ahtisaari,ALUMNI_OF,
Đại học Wisconsin–Madison,Ellen Johnson Sirleaf,ALUMNI_OF,
Chittagong College,Muhammad Yunus,ALUMNI_OF,
Đại học Dhaka,Muhammad Yunus,ALUMNI_OF,
Đại học Vanderbilt,Muhammad Yunus,ALUMNI_OF,
Trường Luật Đại học Duke,Richard Nixon,ALUMNI_OF,
Đại học Greenwich,Abiy Ahmed,ALUMNI_OF,
New York University,Rudy Giuliani,ALUMNI_OF,
Đại học Kansas,Juan Manuel Santos,ALUMNI_OF,
Trường Kinh tế và Khoa học Chính trị Luân Đôn,Juan Manuel Santos,ALUMNI_OF,
Đại học Harvard,Juan Manuel Santos,ALUMNI_OF,
Đại học Quốc gia Moskva,Mikhail Sergeyevich Gorbachyov,ALUMNI_OF,
Đại học Princeton,Maria Ressa,ALUMNI_OF,
Đại học Leipzig,Angela Merkel,ALUMNI_OF,
Đại học Columbia,Isaac Asimov,ALUMNI_OF,1948
Đại học Oxford,Aung San Suu Kyi,ALUMNI_OF,
Đại học London,Aung San Suu Kyi,ALUMNI_OF,
Đại học Yale,Ron DeSantis,ALUMNI_OF,
Đại học Harvard,Ron DeSantis,ALUMNI_OF,
Đại học Princeton,John Foster Dulles,ALUMNI_OF,
Đại học George Washington,John Foster Dulles,ALUMNI_OF,
Đại học Freiburg,Konrad Adenauer,ALUMNI_OF,
Đại học Ludwig Maximilian München,Konrad Adenauer,ALUMNI_OF,
Đại học Bonn,Konrad Adenauer,ALUMNI_OF,
Đại học Emory,Newt Gingrich,ALUMNI_OF,
Đại học Tulane,Newt Gingrich,ALUMNI_OF,
École spéciale militaire de Saint-Cyr,Charles de Gaulle,ALUMNI_OF,
Đại học Tổng hợp Sankt-Peterburg,Vladimir Vladimirovich Putin,ALUMNI_OF,
Đại học Howard,Kamala Harris,ALUMNI_OF,
Trường Luật Hastings,Kamala Harris,ALUMNI_OF,
Viện Công nghệ Massachusetts,Lawrence Summers,ALUMNI_OF,
Đại học Harvard,Lawrence Summers,ALUMNI_OF,
Đại học Harvard,Harry R. Lewis,ALUMNI_OF,
Trường Harrow,Winston Churchill,ALUMNI_OF,
Đại học Tôn Trung Sơn Moskva,Đặng Tiểu Bình,ALUMNI_OF,
Đại học Bonn,Guido Westerwelle,ALUMNI_OF,
Đại học Freiburg,Wolfgang Schäuble,ALUMNI_OF,
Đại học Hamburg,Wolfgang Schäuble,ALUMNI_OF,
Đại học Harvard,Ban Ki-moon,ALUMNI_OF,
Đại học Tübingen,Horst Köhler,ALUMNI_OF,
Đại học Heidelberg,Helmut Kohl,ALUMNI_OF,
Đại học Hamburg,Olaf Scholz,ALUMNI_OF,
Đại học Göttingen,Sigmar Gabriel,ALUMNI_OF,
École nationale d'administration,Jacques Chirac,ALUMNI_OF,
Đại học London,Robert Mugabe,ALUMNI_OF,
Trường Quốc gia Hành chính Pháp,Édouard Philippe,ALUMNI_OF,
Đại học Notre Dame,Condoleezza Rice,ALUMNI_OF,
Đại học Göttingen,Otto von Bismarck,ALUMNI_OF,
Trường Đại học Paris I,Manuel Valls,ALUMNI_OF,
Đại học Panthéon-Assas,Gabriel Attal,ALUMNI_OF,
Đại học Paris Nanterre,Nicolas Sarkozy,ALUMNI_OF,
Đại học Bonn,Joseph Goebbels,ALUMNI_OF,
Đại học Freiburg,Joseph Goebbels,ALUMNI_OF,
Đại học Heidelberg,Joseph Goebbels,ALUMNI_OF,
Đại học,Marine Le Pen,ALUMNI_OF,
Trường Đại học Paris II,Marine Le Pen,ALUMNI_OF,
Đại học Paris,Émile Loubet,ALUMNI_OF,
Đại học Paris,Jean Casimir-Perier,ALUMNI_OF,
Đại học Paris,Raymond Poincaré,ALUMNI_OF,
Đại học Paris,Armand Fallières,ALUMNI_OF,
Đại học Paris,Paul Deschanel,ALUMNI_OF,
Đại học Paris,Gaston Doumergue,ALUMNI_OF,
Đại học Paris,Alexandre Millerand,ALUMNI_OF,
Trường Bách khoa Paris,Valéry Giscard d'Estaing,ALUMNI_OF,
Trường Hành chính quốc gia (Pháp),Valéry Giscard d'Estaing,ALUMNI_OF,
École Normale Supérieure,Georges Pompidou,ALUMNI_OF,
Đại học Panthéon-Assas,François Hollande,ALUMNI_OF,
École nationale d'administration,François Hollande,ALUMNI_OF,
Đại học Paris Nanterre,Emmanuel Macron,ALUMNI_OF,
École nationale d'administration,Emmanuel Macron,ALUMNI_OF,
Đại học Keio,Ishiba Shigeru,ALUMNI_OF,
Đại học Paris,François Mitterrand,ALUMNI_OF,
Đại học Amsterdam,Charles Michel,ALUMNI_OF,
Đại học Leeds,Keir Starmer,ALUMNI_OF,
Đại học Oxford,Keir Starmer,ALUMNI_OF,
Đại học Malta,Robert Abela,ALUMNI_OF,
Đại học Gdańsk,Donald Tusk,ALUMNI_OF,
en:Babeș-Bolyai University,Klaus Iohannis,ALUMNI_OF,
Đại học Latvia,Evika Siliņa,ALUMNI_OF,
Đại học Lisboa,António Costa,ALUMNI_OF,
Đại học Harvard,Kyriakos Mitsotakis,ALUMNI_OF,
Đại học Leiden,Mark Rutte,ALUMNI_OF,
Trường Kinh tế Stockholm,Magdalena Andersson,ALUMNI_OF,
Đại học Complutense Madrid,Pedro Sánchez,ALUMNI_OF,
Đại học Ljubljana,Janez Janša,ALUMNI_OF,
Đại học Paris,Paul Doumer,ALUMNI_OF,
Đại học Belgrano,Javier Milei,ALUMNI_OF,
Đại học nữ sinh Rama Devi,Droupadi Murmu,ALUMNI_OF,
Đại học Sapienza của Rome,Sergio Mattarella,ALUMNI_OF,
Đại học Tự trị Quốc gia México,Andrés Manuel López Obrador,ALUMNI_OF,
Đại học Aarhus,Frederik X của Đan Mạch,ALUMNI_OF,
Đại học Harvard,Frederik X của Đan Mạch,ALUMNI_OF,
Đại học Marmara,Recep Tayyip Erdoğan,ALUMNI_OF,
Đại học Gadjah Mada,Joko Widodo,ALUMNI_OF,
The New School,Sam Lansky,ALUMNI_OF,
Đại học Quốc gia Seoul,Yoon Suk-yeol,ALUMNI_OF,
Đại học Harvard,John Hancock,ALUMNI_OF,
Đại học Harvard,David Lloyd Johnston,ALUMNI_OF,
Đại học Cambridge,William Wordsworth,ALUMNI_OF,
Đại học Harvard,Leonard Bernstein,ALUMNI_OF,
Học viện âm nhạc Curtis,Leonard Bernstein,ALUMNI_OF,
Đại học Princeton,F. Scott Fitzgerald,ALUMNI_OF,
Đại học Oxford,John Henry Newman,ALUMNI_OF,
Đại học Villanova,Giáo hoàng Lêô XIV,ALUMNI_OF,
Đại học Tây Úc,Bob Hawke,ALUMNI_OF,
Đại học Oxford,Bob Hawke,ALUMNI_OF,
Đại học Oxford,John Turner,ALUMNI_OF,
Đại học Paris,John Turner,ALUMNI_OF,
Đại học Harvard,Lý Hiển Long,ALUMNI_OF,
Đại học Oxford,Clement Attlee,ALUMNI_OF,
Đại học Thanh Hoa,Tập Cận Bình,ALUMNI_OF,
Đại học Harvard,Álvaro Uribe,ALUMNI_OF,
Đại học Oxford,Indira Gandhi,ALUMNI_OF,
Eton College,Abhisit Vejjajiva,ALUMNI_OF,
Eton College,Robert Bridges,ALUMNI_OF,
Đại học Dartmouth,Dr. Seuss,ALUMNI_OF,
Đại học Oxford,Lewis Carroll,ALUMNI_OF,
Đại học Cambridge,Jawaharlal Nehru,ALUMNI_OF,
Đại học Yale,Howard Dean,ALUMNI_OF,
Đại học Yale,John C. Calhoun,ALUMNI_OF,
Đại học Yale,Dean Acheson,ALUMNI_OF,
Đại học Harvard,Dean Acheson,ALUMNI_OF,
"University of California, Berkeley",Jerry Brown,ALUMNI_OF,
Đại học Yale,Jerry Brown,ALUMNI_OF,
Đại học Cambridge,William Wilberforce,ALUMNI_OF,
Đại học Cambridge,Amartya Sen,ALUMNI_OF,
Đại học Cambridge,Ralph Vaughan Williams,ALUMNI_OF,
Đại học Santa Clara,Leon Panetta,ALUMNI_OF,
Đại học Delhi,Narendra Modi,ALUMNI_OF,
Đại học Gujarat,Narendra Modi,ALUMNI_OF,
Học viện Quân sự Virginia,George Marshall,ALUMNI_OF,
Trường Lục quân Bảo Định,Tưởng Giới Thạch,ALUMNI_OF,
Trường Shinbu Tokyo,Tưởng Giới Thạch,ALUMNI_OF,
Đại học Kinh tế Quốc dân Kyiv,Volodymyr Oleksandrovych Zelenskyy,ALUMNI_OF,
Học viện Kinh tế Kryvyi Rih,Volodymyr Oleksandrovych Zelenskyy,ALUMNI_OF,
Đại học Edinburg,Gordon Brown,ALUMNI_OF,
Barewa College,Umaru Musa Yar'Adua,ALUMNI_OF,
Đại học Ahmadu Belloy,Umaru Musa Yar'Adua,ALUMNI_OF,
Đại học Neuchâtel,Mohammad Mosaddegh,ALUMNI_OF,
Đại học Missouri–Trường Luật Thành phố Kansas,Harry S. Truman,ALUMNI_OF,
Học viện Công nghiệp Moskva,Nikita Sergeyevich Khrushchyov,ALUMNI_OF,
Đại học Alexandria,Anwar Al-Sadad,ALUMNI_OF,
Viện thần học Qom,Ruhollah Khomeini,ALUMNI_OF,
Đại học Mount Saint Vincent,Corazon Aquino,ALUMNI_OF,
Đại học Viễn Đông,Corazon Aquino,ALUMNI_OF,
Đại học Osnabrück,Christian Wulff,ALUMNI_OF,
Đại học Rostock,Joachim Gauck,ALUMNI_OF,
Đại học Y khoa Hannover,Philipp Rösler,ALUMNI_OF,
Đại học Giessen,Frank-Walter Steinmeier,ALUMNI_OF,
University of Halle,Lutz Graf Schwerin von Krosigk,ALUMNI_OF,
University of Lausanne,Lutz Graf Schwerin von Krosigk,ALUMNI_OF,
Đại học Oxford,Lutz Graf Schwerin von Krosigk,ALUMNI_OF,
Đại học Nuremberg,Ludwig Erhard,ALUMNI_OF,
Đại học Frankfurt am Main,Ludwig Erhard,ALUMNI_OF,
Đại học Công nghệ Quốc gia Athens,Alexis Tsipras,ALUMNI_OF,
Toulouse 1 University Capitole,Vincent Auriol,ALUMNI_OF,
Đại học Caen Normandy,René Coty,ALUMNI_OF,
Đại học Danube Krems,Karl Nehammer,ALUMNI_OF,
Đại học Kinh tế ở Bratislava,Andrej Babiš,ALUMNI_OF,
Đại học Aalborg,Mette Frederiksen,ALUMNI_OF,
Đại học Tampere,Sanna Marin,ALUMNI_OF,
University College Cork,Micheál Martin,ALUMNI_OF,
Đại học Vilnius,Gitanas Nausėda,ALUMNI_OF,
Đại học Thessaloniki,Xavier Bettel,ALUMNI_OF,
Đại học Nancy 2,Xavier Bettel,ALUMNI_OF,
Đại học Đông Carolina (Cử nhân Nghệ thuật),Linda McMahon,ALUMNI_OF,
Đại học Bang South Dakota,Kristi Noem,ALUMNI_OF,
Đại học Kenyon,Rutherford B. Hayes,ALUMNI_OF,
Đại học Harvard,Rutherford B. Hayes,ALUMNI_OF,
Học viện Công nghệ Tự trị Mexico,Felipe Calderón,ALUMNI_OF,
Trường Chính phủ John F. Kennedy,Felipe Calderón,ALUMNI_OF,
Đại học Harvard,T. S. Eliot,ALUMNI_OF,
Amherst College,Dan Brown,ALUMNI_OF,
Đại học Mississippi,William Faulkner,ALUMNI_OF,
Đại học Oxford,Theresa May,ALUMNI_OF,
Đại học Oxford,Harold Wilson,ALUMNI_OF,
Đại học Oxford,Harold Macmillan,ALUMNI_OF,
Trường Ngữ pháp Giáo hội Anh Sydney,John Gorton,ALUMNI_OF,
Trường Ngữ pháp Geelong,John Gorton,ALUMNI_OF,
Đại học Oxford,John Gorton,ALUMNI_OF,
Trường Tudor House,Malcolm Fraser,ALUMNI_OF,
Trường Ngữ pháp Geelong,Malcolm Fraser,ALUMNI_OF,
Trường Ngữ pháp Melbourne,Malcolm Fraser,ALUMNI_OF,
Đại học Oxford,Malcolm Fraser,ALUMNI_OF,
"Đại học Panjab, Chandigarh",Manmohan Singh,ALUMNI_OF,
Đại học Cambridge,Manmohan Singh,ALUMNI_OF,
Đại học Oxford,Manmohan Singh,ALUMNI_OF,
Đại học Hồi giáo Aligarh,Liaquat Ali Khan,ALUMNI_OF,
Đại học Oxford,Liaquat Ali Khan,ALUMNI_OF,
Lancing College,Evelyn Waugh,ALUMNI_OF,
Đại học Oxford,Evelyn Waugh,ALUMNI_OF,
Đại học Oxford,Graham Greene,ALUMNI_OF,
Đại học Cambridge,Oliver Cromwell,ALUMNI_OF,
Đại học Cambridge,Robert Walpole,ALUMNI_OF,
Đại học Harvard,Deval Patrick,ALUMNI_OF,
Đại học Harvard,Ted Kennedy,ALUMNI_OF,
University of Virginia,Ted Kennedy,ALUMNI_OF,
Đại học Harvard,Elbridge Gerry,ALUMNI_OF,
Viện Công nghệ Wentworth,John Volpe,ALUMNI_OF,
Texas A&M University,Rick Perry,ALUMNI_OF,
Đại học Harvard,William Weld,ALUMNI_OF,
Đại học Oxford,William Weld,ALUMNI_OF,
Đại học Texas tại Austin,Laura Bush,ALUMNI_OF,
Đại học Harvard,Charlie Baker,ALUMNI_OF,
Đại học Himachal,Hamid Karzai,ALUMNI_OF,
Đại học Texas tại Austin,Jeb Bush,ALUMNI_OF,
Đại học George Washington,Colin Powell,ALUMNI_OF,
Đại học Kwame Nkrumah,Kofi Annan,ALUMNI_OF,
Graduate Institute of International and Development Studies,Kofi Annan,ALUMNI_OF,
Đại học Princeton,Donald Rumsfeld,ALUMNI_OF,
Đại học Georgetown,Donald Rumsfeld,ALUMNI_OF,
Georgetown University,George Tenet,ALUMNI_OF,
Đại học Columbia,George Tenet,ALUMNI_OF,
