id,title,type
Abdoulkader Kamil Mohamed,Abdoulkader Kamil Mohamed,person
Abdurrahman Wahid,Abdurrahman Wahid,person
Abiy Ahmed,Abiy Ahmed,person
Abe Nobuyuki,Abe Nobuyuki,person
Aaron Sorkin,Aaron Sorkin,person
A. P. J. Abdul Kalam,A. P. J. Abdul Kalam,person
Abdel Fattah el-Sisi,Abdel Fattah el-Sisi,person
Abdullah Abdullah,Abdullah Abdullah,person
Adlai Stevenson I,Adlai Stevenson I,person
Abdullah Gül,Abdullah Gül,person
Adly Mansour,Adly Mansour,person
Abhisit Vejjajiva,Abhisit Vejjajiva,person
Ahmad Massoud,Ahmad Massoud,person
Ahmed Kathrada,Ahmed Kathrada,person
Ahmet Davutoğlu,Ahmet Davutoğlu,person
Alain Poher,Alain Poher,person
Alar Karis,Alar Karis,person
Ahmet Necdet Sezer,Ahmet Necdet Sezer,person
Abe Shinzō,Abe Shinzō,person
Alain Juppé,Alain Juppé,person
Adolfo Suárez,Adolfo Suárez,person
Alan García,Alan García,person
Alassane Ouattara,Alassane Ouattara,person
Alben W. Barkley,Alben W. Barkley,person
Alban Berg,Alban Berg,person
Alenka Bratušek,Alenka Bratušek,person
Aleksander Kwaśniewski,Aleksander Kwaśniewski,person
Alex Salmond,Alex Salmond,person
Alcide De Gasperi,Alcide De Gasperi,person
Alberto Fernández,Alberto Fernández,person
Albert Speer,Albert Speer,person
Aldo Moro,Aldo Moro,person
Alexander Schallenberg,Alexander Schallenberg,person
Albert Gallatin,Albert Gallatin,person
Alexander Stubb,Alexander Stubb,person
Alberto Fujimori,Alberto Fujimori,person
Alexandre Millerand,Alexandre Millerand,person
Alexander Van der Bellen,Alexander Van der Bellen,person
Alec Douglas-Home,Alec Douglas-Home,person
Alexis Tsipras,Alexis Tsipras,person
Alfred Rosenberg,Alfred Rosenberg,person
Anders Fogh Rasmussen,Anders Fogh Rasmussen,person
Amy Coney Barrett,Amy Coney Barrett,person
Alfred Deakin,Alfred Deakin,person
Andreas Norlén,Andreas Norlén,person
Anders Zorn,Anders Zorn,person
Andrew Giuliani,Andrew Giuliani,person
Andrej Babiš,Andrej Babiš,person
Andrus Ansip,Andrus Ansip,person
Andrew Cuomo,Andrew Cuomo,person
Amitabh Bachchan,Amitabh Bachchan,person
Andrew Fisher,Andrew Fisher,person
Allen Dulles,Allen Dulles,person
Amartya Sen,Amartya Sen,person
Andrzej Duda,Andrzej Duda,person
Andrés Manuel López Obrador,Andrés Manuel López Obrador,person
Anne Hidalgo,Anne Hidalgo,person
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,person
Anneli Jäätteenmäki,Anneli Jäätteenmäki,person
Andy Beshear,Andy Beshear,person
Anthony Lake,Anthony Lake,person
Anthony Eden,Anthony Eden,person
Anthony Albanese,Anthony Albanese,person
Antonio Salandra,Antonio Salandra,person
Anton Bruckner,Anton Bruckner,person
Antony Beevor,Antony Beevor,person
Antonis Samaras,Antonis Samaras,person
Angela Merkel,Angela Merkel,person
Antti Tulenheimo,Antti Tulenheimo,person
Antony Blinken,Antony Blinken,person
Antonin Scalia,Antonin Scalia,person
António Costa,António Costa,person
Aníbal Cavaco Silva,Aníbal Cavaco Silva,person
António Guterres,António Guterres,person
Armand Fallières,Armand Fallières,person
Anwar Al-Sadad,Anwar Al-Sadad,person
Arnaldo Forlani,Arnaldo Forlani,person
Asha-Rose Migiro,Asha-Rose Migiro,person
Ashfaq Parvez Kayani,Ashfaq Parvez Kayani,person
Ashraf Ghani,Ashraf Ghani,person
Ariel Sharon,Ariel Sharon,person
Atal Bihari Vajpayee,Atal Bihari Vajpayee,person
"Arthur Wellesley, Công tước thứ 1 xứ Wellington","Arthur Wellesley, Công tước thứ 1 xứ Wellington",person
Anutin Charnvirakul,Anutin Charnvirakul,person
Ardem Patapoutian,Ardem Patapoutian,person
Anthony Fauci,Anthony Fauci,person
Aung San,Aung San,person
Arthur C. Clarke,Arthur C. Clarke,person
Augusto Pinochet,Augusto Pinochet,person
Asō Tarō,Asō Tarō,person
Asa Hutchinson,Asa Hutchinson,person
Ayman al-Zawahiri,Ayman al-Zawahiri,person
B. D. Jatti,B. D. Jatti,person
Beau Biden,Beau Biden,person
Beata Szydło,Beata Szydło,person
Barney Frank,Barney Frank,person
Ben Carson,Ben Carson,person
Bayanqolu,Bayanqolu,person
"Benigno Aquino, Jr.","Benigno Aquino, Jr.",person
Ban Ki-moon,Ban Ki-moon,person
Bengt Holmström,Bengt Holmström,person
Bashar al-Assad,Bashar al-Assad,person
Aung San Suu Kyi,Aung San Suu Kyi,person
Benigno Aquino III,Benigno Aquino III,person
Benjamin Britten,Benjamin Britten,person
Basuki Tjahaja Purnama,Basuki Tjahaja Purnama,person
Benjamin Butler,Benjamin Butler,person
Benjamin Harrison,Benjamin Harrison,person
Bill de Blasio,Bill de Blasio,person
Bhimrao Ambedkar,Bhimrao Ambedkar,person
Bernard Cazeneuve,Bernard Cazeneuve,person
Bertil Ohlin,Bertil Ohlin,person
Bettino Craxi,Bettino Craxi,person
Bettino Ricasoli,Bettino Ricasoli,person
Bernie Sanders,Bernie Sanders,person
Bogdan Borusewicz,Bogdan Borusewicz,person
Bob Woodward,Bob Woodward,person
Bohuslav Sobotka,Bohuslav Sobotka,person
Bill Clinton,Bill Clinton,person
Bob Hawke,Bob Hawke,person
Bill Gates,Bill Gates,person
Bongbong Marcos,Bongbong Marcos,person
Bob Taft,Bob Taft,person
Bill Lee,Bill Lee,person
Boris Tadić,Boris Tadić,person
Borut Pahor,Borut Pahor,person
Boutros Boutros-Ghali,Boutros Boutros-Ghali,person
Brian Cowen,Brian Cowen,person
Brett Kavanaugh,Brett Kavanaugh,person
Brigitte Bierlein,Brigitte Bierlein,person
Brian Mulroney,Brian Mulroney,person
Bronisław Komorowski,Bronisław Komorowski,person
Benjamin Netanyahu,Benjamin Netanyahu,person
Bạc Nhất Ba,Bạc Nhất Ba,person
Boris Nikolayevich Yeltsin,Boris Nikolayevich Yeltsin,person
Bạc Hy Lai,Bạc Hy Lai,person
Boris Johnson,Boris Johnson,person
C. Rajagopalachari,C. Rajagopalachari,person
Brett Giroir,Brett Giroir,person
Brad Little,Brad Little,person
Camille Pissarro,Camille Pissarro,person
Brian Kemp,Brian Kemp,person
Calvin Coolidge,Calvin Coolidge,person
Bùi Kim Giai,Bùi Kim Giai,person
Carl Bildt,Carl Bildt,person
Camilo José Cela,Camilo José Cela,person
Cao Hành Kiện,Cao Hành Kiện,person
Chaim Herzog,Chaim Herzog,person
Carlos Prío Socarrás,Carlos Prío Socarrás,person
Carlos Polistico García,Carlos Polistico García,person
Charan Singh,Charan Singh,person
Chandra Shekhar,Chandra Shekhar,person
Charles G. Dawes,Charles G. Dawes,person
Carole Bouquet,Carole Bouquet,person
Charles Haughey,Charles Haughey,person
Barack Obama,Barack Obama,person
Chandrika Kumaratunga,Chandrika Kumaratunga,person
Charles Joseph Bonaparte,Charles Joseph Bonaparte,person
Charles Michel,Charles Michel,person
Charles W. Fairbanks,Charles W. Fairbanks,person
Charles Villiers Stanford,Charles Villiers Stanford,person
Chavarat Charnvirakul,Chavarat Charnvirakul,person
Cho Kuk,Cho Kuk,person
Christian Stocker,Christian Stocker,person
Christian Wulff,Christian Wulff,person
Choi Kyu-hah,Choi Kyu-hah,person
Charles-Maurice de Talleyrand-Périgord,Charles-Maurice de Talleyrand-Périgord,person
Christian Kern,Christian Kern,person
Christine Lagarde,Christine Lagarde,person
Chester A. Arthur,Chester A. Arthur,person
Charles de Gaulle,Charles de Gaulle,person
Christopher A. Pissarides,Christopher A. Pissarides,person
Charlie Baker,Charlie Baker,person
Christopher A. Sims,Christopher A. Sims,person
Christopher Stevens (đại sứ),Christopher Stevens (đại sứ),person
Chu Tiểu Xuyên,Chu Tiểu Xuyên,person
Christopher Hitchens,Christopher Hitchens,person
Che Guevara,Che Guevara,person
Chuck Hagel,Chuck Hagel,person
Chu Dung Cơ,Chu Dung Cơ,person
Chun Doo-hwan,Chun Doo-hwan,person
Ciriaco De Mita,Ciriaco De Mita,person
Chris Sununu,Chris Sununu,person
Christopher Luxon,Christopher Luxon,person
Chuan Leekpai,Chuan Leekpai,person
Claudia Sheinbaum,Claudia Sheinbaum,person
Clement Attlee,Clement Attlee,person
Colin Powell,Colin Powell,person
Cory Booker,Cory Booker,person
D. H. Lawrence,D. H. Lawrence,person
Dag Hammarskjöld,Dag Hammarskjöld,person
Daniel D. Tompkins,Daniel D. Tompkins,person
Dan Brown,Dan Brown,person
Clive Granger,Clive Granger,person
Cristina Fernández de Kirchner,Cristina Fernández de Kirchner,person
Daron Acemoğlu,Daron Acemoğlu,person
Cyril Ramaphosa,Cyril Ramaphosa,person
Corazon Aquino,Corazon Aquino,person
Chu Ân Lai,Chu Ân Lai,person
Condoleezza Rice,Condoleezza Rice,person
David Halberstam,David Halberstam,person
Daniel McKee,Daniel McKee,person
David Cameron,David Cameron,person
Dean Heller,Dean Heller,person
David Lloyd Johnston,David Lloyd Johnston,person
Dean Acheson,Dean Acheson,person
Dean Rusk,Dean Rusk,person
David Ige,David Ige,person
David Card,David Card,person
David Petraeus,David Petraeus,person
Dick Cheney,Dick Cheney,person
Deval Patrick,Deval Patrick,person
Deborah Birx,Deborah Birx,person
Diosdado Macapagal,Diosdado Macapagal,person
Dominique Strauss-Kahn,Dominique Strauss-Kahn,person
Donald Rumsfeld,Donald Rumsfeld,person
Dominique de Villepin,Dominique de Villepin,person
Diệp Kiếm Anh,Diệp Kiếm Anh,person
Donald Tusk,Donald Tusk,person
Doug Burgum,Doug Burgum,person
Douglass North,Douglass North,person
Dr. Seuss,Dr. Seuss,person
Droupadi Murmu,Droupadi Murmu,person
Dương Chấn Vũ,Dương Chấn Vũ,person
Doug Emhoff,Doug Emhoff,person
Dries van Agt,Dries van Agt,person
Dmitry Anatolyevich Medvedev,Dmitry Anatolyevich Medvedev,person
Dwight D. Eisenhower,Dwight D. Eisenhower,person
Dương Văn Minh,Dương Văn Minh,person
Earl Warren,Earl Warren,person
Dương Đắc Chí,Dương Đắc Chí,person
Dịch Hội Mãn,Dịch Hội Mãn,person
Edwin Linkomies,Edwin Linkomies,person
Edgars Rinkēvičs,Edgars Rinkēvičs,person
Edmund Barton,Edmund Barton,person
Earle Page,Earle Page,person
Edvard Beneš,Edvard Beneš,person
Ed Rendell,Ed Rendell,person
Doãn Lực,Doãn Lực,person
Ehud Barak,Ehud Barak,person
Edwin Stanton,Edwin Stanton,person
Doug Ducey,Doug Ducey,person
Ellen Johnson Sirleaf,Ellen Johnson Sirleaf,person
Elpidio Quirino,Elpidio Quirino,person
Elio Di Rupo,Elio Di Rupo,person
Elbridge Gerry,Elbridge Gerry,person
Elias Canetti,Elias Canetti,person
Elżbieta Bieńkowska,Elżbieta Bieńkowska,person
Ehud Olmert,Ehud Olmert,person
Elizabeth Warren,Elizabeth Warren,person
Enrico De Nicola,Enrico De Nicola,person
Emilio Aguinaldo,Emilio Aguinaldo,person
Enda Kenny,Enda Kenny,person
Emmerson Mnangagwa,Emmerson Mnangagwa,person
Enrico Letta,Enrico Letta,person
Ernesto Zedillo,Ernesto Zedillo,person
Enrique Peña Nieto,Enrique Peña Nieto,person
Eric Holcomb,Eric Holcomb,person
Eugenia Charles,Eugenia Charles,person
Evelyn Waugh,Evelyn Waugh,person
Ernst Kaltenbrunner,Ernst Kaltenbrunner,person
Esther Duflo,Esther Duflo,person
Ernest Lawrence,Ernest Lawrence,person
Evika Siliņa,Evika Siliņa,person
Ewa Kopacz,Ewa Kopacz,person
Fakhruddin Ali Ahmed,Fakhruddin Ali Ahmed,person
Emmanuel Macron,Emmanuel Macron,person
Elon Musk,Elon Musk,person
Faure Gnassingbé,Faure Gnassingbé,person
Federica Mogherini,Federica Mogherini,person
Ferdinand Marcos,Ferdinand Marcos,person
Francesco Cossiga,Francesco Cossiga,person
Finn E. Kydland,Finn E. Kydland,person
Francesco Crispi,Francesco Crispi,person
Felipe Calderón,Felipe Calderón,person
Francisco I. Madero,Francisco I. Madero,person
Fidel Ramos,Fidel Ramos,person
F. Scott Fitzgerald,F. Scott Fitzgerald,person
Franjo Tuđman,Franjo Tuđman,person
Francisco Franco,Francisco Franco,person
Franco Modigliani,Franco Modigliani,person
Frank Forde,Frank Forde,person
Franz Oppenheimer,Franz Oppenheimer,person
Frank-Walter Steinmeier,Frank-Walter Steinmeier,person
Franz Schubert,Franz Schubert,person
Franklin Pierce,Franklin Pierce,person
François Arago,François Arago,person
Fidel Castro,Fidel Castro,person
Frederick Muhlenberg,Frederick Muhlenberg,person
François Rabelais,François Rabelais,person
François Hollande,François Hollande,person
Franklin D. Roosevelt,Franklin D. Roosevelt,person
Fredrik Reinfeldt,Fredrik Reinfeldt,person
François Fillon,François Fillon,person
Friedrich Hayek,Friedrich Hayek,person
Frederik X của Đan Mạch,Frederik X của Đan Mạch,person
Franz Kafka,Franz Kafka,person
Donald Trump,Donald Trump,person
François Mitterrand,François Mitterrand,person
Furukawa Shuntaro,Furukawa Shuntaro,person
Friedrich Merz,Friedrich Merz,person
Garret Hobart,Garret Hobart,person
Fukuda Yasuo,Fukuda Yasuo,person
Gary Johnson,Gary Johnson,person
Gaston Doumergue,Gaston Doumergue,person
Fukuda Takeo,Fukuda Takeo,person
Gabriel García Márquez,Gabriel García Márquez,person
George Canning,George Canning,person
Geert Wilders,Geert Wilders,person
