title,infobox_json
-Trường Trung học Phổ thông ở Huế -Trường Võ bị Quốc gia tại Huế -Trường Kỵ binh Saumur (École de cavalerie de Saumur),{}
- Đại học George Washington,{}
"Birkbeck, Đại học London",{}
- Đại học dầu khí khoáng sản vua Fahd,{}
- Đại học Hoa Kỳ,{}
Aspen Institute,{}
Boys' High School & College,{}
Amherst College,{}
Barewa College,{}
Boston University,{}
Cao đẳng Tarkio Cao đẳng Santa Fe Đại học Florida Đại học Miami,{}
Case Western Reserve University,{}
Cairo University,{}
Chulachomklao Royal Military Academy,{}
Centre College,{}
Chittagong College,{}
"Cistercian College, Roscrea",{}
Clemson University,{}
Claverack College,{}
Dakota Wesleyan University,{}
Dulwich College,{}
DeWitt Clinton High School,{}
Dalhousie University,{}
Eastern Kentucky University,{}
Erasmus University Rotterdam,{}
Complutense University of Madrid,{}
Duke University,{}
Cornell University,{}
Georgetown University,{}
Cử nhân Nghệ thuật,{}
Eton College,"{""Loại"": ""Tư thục"", ""Khẩu hiệu"": [""Floreat Etona"", ""(\""Có thể tồn tại mãi mãi\"")""], ""Tôn giáo liên kết"": ""Giáo hội Anh"", ""Thành lập"": ""1440"", ""Sáng lập"": ""Henry VI"", ""Giới tính theo học"": ""Nam"", ""Độ tuổi theo học"": ""13–18"", ""Tỉ lệ học sinh/giáo viên"": ""8:1"", ""Nhà"": ""25"", ""Màu"": ""Eton blue"", ""Website"": ""www .etoncollege .com""}"
Colby College,{}
Graduate Institute of International and Development Studies,{}
Georgetown University Law Center,{}
Gresham's School,{}
Hamilton College,{}
Hebrew Union College,{}
Hofstra University,{}
Hanover College,{}
Học viện Chiến tranh Chile,{}
Humboldt University of Berlin,{}
Haverford College,{}
Học viện Canandaigua,{}
Học viện Công nghiệp Moskva,{}
Học viện Công nghệ Bandung,{}
Học viện Hoàng gia Nghệ thuật Sân khấu,{}
Học viện Công nghệ Tokyo,{}
Học viện Công nghệ Tự trị Mexico,{}
Học viện Hải quân Mircea cel Bătrân,{}
Học viện Khoa học Nông nghiệp Trung Quốc,{}
Học viện Khoa học Xã hội (định hướng),{}
Học viện Julian,{}
Học viện Hành chính Quốc gia,{}
Học viện Kilmarnock,{}
Học viện Kinh tế Kryvyi Rih,{}
Học viện Hải quân Đại Liên,"{""Khẩu hiệu"": ""献身 严格 图强 求实"", ""Loại hình"": ""Trường đại học quân sự"", ""Thành lập"": ""22 tháng 11 năm 1949 ; 75 năm trước ( 1949-11-22 )"", ""Địa chỉ"": ""667 Jiefang Road, Trung Sơn , Đại Liên , Liêu Ninh , Trung Quốc""}"
Học viện Luyện kim Quốc gia Ukraina,{}
Học viện Hải quân Đế quốc Nhật Bản,{}
Học viện Mỹ thuật Hoàng gia,{}
Học viện Mỹ thuật Florence,{}
Học viện Lục quân Đế quốc Nhật Bản,{}
Học viện Mỹ thuật Hoàng gia San Fernando,{}
Học viện Mỹ thuật Hoàng gia Đan Mạch,{}
Học viện Mỹ thuật Hoàng gia Thụy Điển,{}
Học viện Mỹ thuật Quốc gia,{}
Học viện Nghệ thuật Hoàng gia,{}
Học viện Ngân hàng Ukraina của Ngân hàng Quốc gia Ukraina,{}
Học viện Công nghệ Georgia,"{""Loại"": ""Đại học công lập"", ""Khẩu hiệu"": ""Progress and Service (Tiến Bộ và Cống Hiến)"", ""Thành lập"": ""Ngày 13 tháng 10 năm 1885"", ""Giám đốc"": ""John Stein [ 1 ]"", ""Hiệu trưởng"": ""G. P. \""Bud\"" Peterson"", ""Giảng viên"": ""5,126 (Mùa thu 2012) [ 2 ]"", ""Số Sinh viên"": ""23,109 (Mùa thu 2014) [ 3 ]"", ""Khuôn viên"": ""Đô thị , 373 mẫu Anh (1,5 km 2 ) [ 4 ]"", ""Màu"": ""Trắng Vàng Nâu [ 5 ]"", ""Linh vật"": ""Buzz và Ramblin' Wreck"", ""Biệt danh"": ""Yellow Jackets"", ""Tài trợ"": ""USD $1.88 tỷ (Mùa thu 2014) [ 6 ]"", ""Newspaper"": ""The Technique"", ""Website"": ""gatech .edu"", ""Phó hiệu trưởng"": ""Rafael L. Bras"", ""Sinh viên đại học"": ""14,682 (Mùa thu 2014) [ 3 ]"", ""Sinh viên sau đại học"": ""8,427 (Mùa thu 2014) [ 3 ]""}"
Học viện Ngoại giao Viên,{}
Học viện Hải quân Hoa Kỳ,"{""Loại"": ""Học viện quân sự liên bang"", ""Khẩu hiệu"": ""Ex Scientia Tridens ( From Knowledge, Seapower )"", ""Thành lập"": ""10 tháng 10 năm 1845"", ""Hiệu trưởng"": ""Rodney P. Rempt"", ""Khuôn viên"": ""Căn cứ Hải quân , 338 mẫu Anh"", ""Màu"": ""Xanh █ Vàng █"", ""Linh vật"": ""Bill the Goat"", ""Athletics"": ""Extensive varsity and intramural program"", ""Website"": ""www.usna.edu"", ""Sinh viên đại học"": ""4.400""}"
Học viện Quân sự Ai Cập,{}
Học viện Quan hệ Quốc tế Moscow,{}
Học viện Quan hệ Quốc tế,{}
Học viện Quân sự Homs,{}
Học viện Phòng vệ Nhật Bản,"{""Năm thành lập"": ""1952"", ""Loại trường"": ""Đại học nhà nước"", ""Thành lập bởi"": ""Bộ Quốc phòng Nhật Bản"", ""Địa điểm"": ""1-10-20 Hashirimizu, Yokosuka , Kanagawa , Nhật Bản"", ""Hiệu trưởng"": ""Ryosei Kokubun"", ""Hình thức đào tạo"": ""Đại học và sau đại học"", ""Website"": ""Trang web chính thức Học viện Phòng vệ Nhật Bản""}"
Học viện Nghệ thuật Hoàng gia Nga,"{""Loại hình"": ""Học viện Nghệ thuật Hoàng gia của Đế quốc Nga"", ""Hoạt động"": ""1757–1917"", ""Sáng lập"": ""Ivan Shuvalov"", ""Vị trí"": [""Saint-Petersburg"", "","", ""Đế quốc Nga"", ""59°56′15″B"", ""30°17′25″Đ"", ""﻿ / ﻿"", ""59,9375°B 30,29028°Đ"", ""﻿ /"", ""59.93750; 30.29028""]}"
Học viện Quân sự Hoàng gia Chulachomklao,{}
Học viện Chính trị Quốc gia Hồ Chí Minh,"{""Loại"": ""Học viện công lập"", ""Thành lập"": ""1949 (75–76 năm trước)"", ""Giám đốc"": ""GS, TS Nguyễn Xuân Thắng"", ""Website"": ""hcma .vn"", ""Viết tắt"": ""HCMA"", ""Phó giám đốc"": [""PGS, TS"", ""Đoàn Minh Huấn"", ""PGS, TS Nguyễn Duy Bắc"", ""PGS, TS Hoàng Phúc Lâm"", ""PGS, TS Dương Trung Ý""]}"
Học viện Quân sự Hoàng gia Chulachomklao Trường Quốc phòng Quốc gia Thái Lan,{}
Học viện Mỹ thuật Jan Matejko,"{""Loại hình"": ""Trường công lập"", ""Thành lập"": ""1818"", ""Hiệu trưởng"": ""Professor Jan Pamuła"", ""Giảng viên"": ""6 khoa 9 tháng"", ""Nhân viên quản lý"": ""353"", ""Sinh viên"": ""822 (2001/02)"", ""Địa chỉ"": ""Plac Matejki 13, 31-157 Kraków , Kraków , Ba Lan"", ""Khuôn viên"": ""Đô thị"", ""Website"": ""http://www.asp.krakow.pl""}"
"Học viện Quân sự Hoàng gia, Duntroon",{}
Học viện Quân sự Hoàng gia Thái LanChulachomklao,{}
Học viện Quân sự Frunze,{}
Học viện Quân sự Hàn Quốc,{}
Học viện Quân sự Quân Giải phóng Nhân dân Trung Hoa,{}
Học viện Quân sự Liban,{}
Học viện Quân sự Pakistan,{}
Học viện Quân sự Hoa Kỳ,"{""Loại"": ""Học viện quân sự liên bang"", ""Khẩu hiệu"": [""Trách nhiệm • Danh dự • Tổ quốc"", ""(Duty • Honor • Country"", ""["", ""1"", ""]"", "")""], ""Thành lập"": ""1802"", ""Superintendent"": ""Trung tướng Franklin Hagenbeck"", ""Nhân viên"": ""Khoảng 500 giảng viên"", ""Khuôn viên"": ""16.080 mẫu Anh (65 km²)"", ""Màu"": ""Black █ , Gray █ , and Gold █"", ""Athletics"": ""25 đội, được gọi là \""Black Knights\"""", ""Website"": ""www.usma.edu"", ""Sinh viên đại học"": ""4.000""}"
Học viện Quân sự Venezuela,{}
Học viện Quân đội Indonesia,{}
Học viện Quân sự Virginia,{}
Học viện Quân sự Ấn Độ,{}
Học viện Quản trị Nhân sự,{}
Học viện Thụy Sĩ,{}
Học viện Sư phạm Đệ nhất Hồ Nam,{}
Học viện bộ binh Toledo,{}
Học viện quân sự Georgi Rakovski,{}
Học viện Quốc phòng Nigeria,{}
Indiana University Robert H. McKinney School of Law,{}
Học viện quân sự trung ương,{}
Islamic University of Gaza,{}
Illinois Wesleyan University,{}
Jerusalem University College,{}
Jagiellonian University,{}
John Handley High School,{}
Học viện âm nhạc Curtis,"{""Loại hình"": ""Trường tư"", ""Thành lập"": ""1924 ; 101 năm trước ( 1924 )"", ""Tài trợ"": ""253.2 triệu USD (2019) [ 1 ]"", ""Viện trưởng"": ""Roberto Díaz"", ""Giám đốc"": ""Roberto Díaz"", ""Sinh viên"": ""167"", ""Vị trí"": ""Philadelphia , Pennsylvania , Hoa Kỳ"", ""Khuôn viên"": ""Đô thị"", ""Website"": ""Website chính thức""}"
Kabul University,{}
Kenyon College,{}
Kansas State University,{}
Kharkiv National University of Internal Affairs,{}
Kirori Mal College,{}
Kyiv National University of Trade and Economics,{}
Manhattanville College,{}
London Metropolitan University,{}
Liverpool College,{}
Lancing College,{}
Marquette University,{}
Mason College,{}
National Academy of Management,{}
Morehouse College,{}
National Autonomous University of Mexico,{}
National Defence College of Thailand,{}
"National University of Ireland, Galway",{}
Northwestern University,{}
Newark Academy,{}
Oberlin College,{}
New York University,{}
Ohio Wesleyan University,{}
Old Buckenham Hall School,{}
Paris West University Nanterre La Défense,{}
Open University,{}
Pháp -Trường Đại học tại Paris,{}
Portsmouth Polytechnic,{}
Pomona College,{}
Post Graduate Government College – 11,{}
Purdue University,{}
Pate's Grammar School,{}
Royal Military Academy Sandhurst,{}
Radcliffe College,{}
PSL Research University,"{""Thành lập"": ""2010"", ""Kinh phí"": ""€750 million (2016)"", ""Viện trưởng"": ""El Mouhoub Mouhoud"", ""Nhân viên quản lý"": ""2,900"", ""Sinh viên"": ""17,000"", ""Vị trí"": ""Paris ( France )"", ""Khuôn viên"": ""Urban"", ""Website"": ""psl .eu""}"
Rôma (1919–1925) Đại học Appolinaire (1925–1927),{}
"Saint Ignatius' College, Riverview",{}
Rutgers University–New Brunswick,{}
Sapienza University of Rome,{}
Sam Houston State University,{}
