src_root,dst_person,relation
Barack Obama,Joe Biden,LINK_FROM_START
Barack Obama,George W. Bush,LINK_FROM_START
Barack Obama,Donald Trump,LINK_FROM_START
Barack Obama,Michelle Obama,LINK_FROM_START
Barack Obama,Hillary Clinton,LINK_FROM_START
Barack Obama,John McCain,LINK_FROM_START
Barack Obama,Mitt Romney,LINK_FROM_START
Barack Obama,Bill Clinton,LINK_FROM_START
Barack Obama,Paul Ryan,LINK_FROM_START
Barack Obama,Franklin D. Roosevelt,LINK_FROM_START
Barack Obama,Nancy Pelosi,LINK_FROM_START
Barack Obama,David Cameron,LINK_FROM_START
Barack Obama,Benjamin Netanyahu,LINK_FROM_START
Barack Obama,Dmitry Anatolyevich Medvedev,LINK_FROM_START
Barack Obama,David Petraeus,LINK_FROM_START
Barack Obama,Shimon Peres,LINK_FROM_START
Barack Obama,Bashar al-Assad,LINK_FROM_START
Barack Obama,Nelson Mandela,LINK_FROM_START
Barack Obama,Calvin Coolidge,LINK_FROM_START
Barack Obama,Ronald Reagan,LINK_FROM_START
Barack Obama,Margaret Thatcher,LINK_FROM_START
Barack Obama,Dick Cheney,LINK_FROM_START
Barack Obama,John Adams,LINK_FROM_START
Barack Obama,Thomas Jefferson,LINK_FROM_START
Barack Obama,James Madison,LINK_FROM_START
Barack Obama,James Monroe,LINK_FROM_START
Barack Obama,John Quincy Adams,LINK_FROM_START
Barack Obama,William Henry Harrison,LINK_FROM_START
Barack Obama,John Tyler,LINK_FROM_START
Barack Obama,James K. Polk,LINK_FROM_START
Barack Obama,James Buchanan,LINK_FROM_START
Barack Obama,Ulysses S. Grant,LINK_FROM_START
Barack Obama,Benjamin Harrison,LINK_FROM_START
Barack Obama,Theodore Roosevelt,LINK_FROM_START
Barack Obama,William Howard Taft,LINK_FROM_START
Barack Obama,Woodrow Wilson,LINK_FROM_START
Barack Obama,Herbert Hoover,LINK_FROM_START
Barack Obama,Dwight D. Eisenhower,LINK_FROM_START
Barack Obama,John F. Kennedy,LINK_FROM_START
Barack Obama,Richard Nixon,LINK_FROM_START
Barack Obama,Gerald Ford,LINK_FROM_START
Barack Obama,Jimmy Carter,LINK_FROM_START
Barack Obama,George H. W. Bush,LINK_FROM_START
Barack Obama,Charles G. Dawes,LINK_FROM_START
Barack Obama,Dag Hammarskjöld,LINK_FROM_START
Barack Obama,Henry Kissinger,LINK_FROM_START
Barack Obama,Satō Eisaku,LINK_FROM_START
Barack Obama,Menachem Begin,LINK_FROM_START
Barack Obama,Óscar Arias,LINK_FROM_START
Barack Obama,Mikhail Sergeyevich Gorbachyov,LINK_FROM_START
Barack Obama,Aung San Suu Kyi,LINK_FROM_START
Barack Obama,Mohamed ElBaradei,LINK_FROM_START
Barack Obama,Muhammad Yunus,LINK_FROM_START
