person_title
Barack Obama
Joe Biden
George W. Bush
Donald Trump
Michelle Obama
Hillary Clinton
John McCain
Mitt Romney
Bill Clinton
Paul Ryan
Franklin D. Roosevelt
Nancy Pelosi
David Cameron
Benjamin Netanyahu
Dmitry Anatolyevich Medvedev
David Petraeus
Shimon Peres
Bashar al-Assad
Nelson Mandela
Calvin Coolidge
Ronald Reagan
Margaret Thatcher
Dick Cheney
John Adams
Thomas Jefferson
James Madison
James Monroe
John Quincy Adams
William Henry Harrison
John Tyler
James K. Polk
James Buchanan
Ulysses S. Grant
Benjamin Harrison
Theodore Roosevelt
William Howard Taft
Woodrow Wilson
Herbert Hoover
Dwight D. Eisenhower
John F. Kennedy
Richard Nixon
Gerald Ford
Jimmy Carter
George H. W. Bush
Charles G. Dawes
Dag Hammarskjöld
Henry Kissinger
Satō Eisaku
Menachem Begin
Óscar Arias
Mikhail Sergeyevich Gorbachyov
Aung San Suu Kyi
Mohamed ElBaradei
Muhammad Yunus
Martti Ahtisaari
Ellen Johnson Sirleaf
Juan Manuel Santos
Abiy Ahmed
Maria Ressa
Rudy Giuliani
Vladimir Vladimirovich Putin
Angela Merkel
Kamala Harris
Elon Musk
Isaac Asimov
Ron DeSantis
Winston Churchill
Konrad Adenauer
John Foster Dulles
Charles de Gaulle
Đặng Tiểu Bình
Newt Gingrich
Mark Zuckerberg
Bill Gates
Harry R. Lewis
Jeff Bezos
Satya Nadella
Sundar Pichai
Tim Cook
Sheryl Sandberg
Lawrence Summers
Peter Thiel
Malala Yousafzai
Ban Ki-moon
Horst Köhler
Guido Westerwelle
Sigmar Gabriel
Olaf Scholz
Wolfgang Schäuble
Helmut Kohl
Condoleezza Rice
Jacques Chirac
Robert Mugabe
Otto von Bismarck
Joseph Goebbels
Helmut Schmidt
Emmanuel Macron
Édouard Philippe
Gabriel Attal
Michel Barnier
François Hollande
Manuel Valls
Marine Le Pen
Nicolas Sarkozy
Jacques Chaban-Delmas
Jean Casimir-Perier
Émile Loubet
Armand Fallières
Raymond Poincaré
Paul Deschanel
Alexandre Millerand
Gaston Doumergue
Paul Doumer
Georges Pompidou
Valéry Giscard d'Estaing
François Mitterrand
Ishiba Shigeru
Keir Starmer
Charles Michel
Kaja Kallas
Kyriakos Mitsotakis
Evika Siliņa
Robert Abela
Mark Rutte
Donald Tusk
António Costa
Klaus Iohannis
Janez Janša
Pedro Sánchez
Magdalena Andersson
Javier Milei
Tập Cận Bình
Droupadi Murmu
Joko Widodo
Sergio Mattarella
Andrés Manuel López Obrador
Yoon Suk-yeol
Recep Tayyip Erdoğan
Frederik X của Đan Mạch
Giáo hoàng Lêô XIV
Taylor Swift
F. Scott Fitzgerald
William Wordsworth
Sam Lansky
John Hancock
David Lloyd Johnston
Lý Hiển Long
Leonard Bernstein
John Henry Newman
Michelangelo
Clement Attlee
Bob Hawke
John Turner
Indira Gandhi
Álvaro Uribe
Abhisit Vejjajiva
Dr. Seuss
Lewis Carroll
Robert Bridges
Amartya Sen
Jawaharlal Nehru
William Wilberforce
Ralph Vaughan Williams
Viện Công nghệ Massachusetts
Howard Dean
Jerry Brown
John C. Calhoun
Dean Acheson
