person,person_url,universities_category,key,value
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Chevalier de la Légion d'honneur
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Croix de Guerre avec Palmes
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Croix du Combattant
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Huân chương Công trạng
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Huân chương Polonia Restituta
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Huân chương Vinh quang của Tunisia
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,awards,Ngôi Sao Bạc
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,birth_place,Chicago
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,birth_place,Illinois
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,birth_place,Mỹ
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,caption,Albert Peter Dewey
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,death_place,Sài Gòn
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,death_place,Việt Nam
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,awards,American Library Association's James Madison Award ''(di cảo)''
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,awards,ArsDigita Prize (2000)
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,awards,EFF Pioneer Award 2013 ''(di cảo)''
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,awards,Internet Hall of Fame 2013 ''(di cảo)''
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,birth_name,"Aaron Hillel Swartz<ref name=""yearwood""> </ref>"
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,birth_place,</ref> U.S.}}
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,caption,Swartz tại một sự kiện Creative Commons ngày 13 tháng 12 năm 2008
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,death_place,U.S
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,education,Đại học Stanford
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,image,Aaron Swartz profile.jpg
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,name,Aaron Swartz
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,occupation,Nhà phát triển phần mềm
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,occupation,nhà hoạt động internet
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,occupation,nhà văn
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,alma_mater,Đại học Hoa Kỳ ở Beirut
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,alma_mater,Đại học Pantheon-Sorbonne
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,birth_name,Abdullah Abdulkarim Hamdan
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,birth_name,Ensour
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,birth_place,Salt
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,birth_place,Transjordan  <ref name=hazaimeh> </ref><ref name=rulers> </ref>
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,image,Abdullah Ensour 2014.jpg
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,name,Abdullah Ensour
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,office,Thủ tướng Jordan
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,party,Độc lập
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,predecessor,Fayez al-Tarawneh
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,religion,Hồi giáo
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,signature,Abdullah nsour signature.svg
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,term_end,nay
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,term_start,11 tháng 10 năm 2012
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,awards,Giải Nobel Kinh tế (2019)<ref> </ref>
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,birth_name,Abhijit Vinayak Banerjee
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,birth_place,Mumbai
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,birth_place,Ấn Độ<ref> </ref><ref> </ref><ref> </ref>
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_advisor,Eric Maskin
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,doctoral_students,''[https://dspace.mit.edu/handle/1721.1/8412 Social capital and microfinance]''. Ph.D. dissertation
