person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey,Đại học Yale,,Chevalier de la Légion d'honneur; Croix de Guerre avec Palmes; Croix du Combattant; Huân chương Công trạng; Huân chương Polonia Restituta; Huân chương Vinh quang của Tunisia; Ngôi Sao Bạc,,,Chicago; Illinois; Mỹ,Albert Peter Dewey,,,Sài Gòn; Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz,Đại học Stanford,,American Library Association's James Madison Award ''(di cảo)''; ArsDigita Prize (2000); EFF Pioneer Award 2013 ''(di cảo)''; Internet Hall of Fame 2013 ''(di cảo)'',,"Aaron Hillel Swartz<ref name=""yearwood""> </ref>",</ref> U.S.}},Swartz tại một sự kiện Creative Commons ngày 13 tháng 12 năm 2008,,,U.S,,,Đại học Stanford,,,Aaron Swartz profile.jpg,,,,Aaron Swartz,,Nhà phát triển phần mềm; nhà hoạt động internet; nhà văn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour,Đại học Michigan,Đại học Hoa Kỳ ở Beirut; Đại học Pantheon-Sorbonne,,,Abdullah Abdulkarim Hamdan; Ensour,Salt; Transjordan  <ref name=hazaimeh> </ref><ref name=rulers> </ref>,,,,,,,,,,Abdullah Ensour 2014.jpg,,,,Abdullah Ensour,,,Thủ tướng Jordan,,,Độc lập,Fayez al-Tarawneh,,,,,,Hồi giáo,,Abdullah nsour signature.svg,,,,,,nay,,,,11 tháng 10 năm 2012,,,,,,
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee,Đại học Harvard,,Giải Nobel Kinh tế (2019)<ref> </ref>,,Abhijit Vinayak Banerjee,Mumbai; Ấn Độ<ref> </ref><ref> </ref><ref> </ref>,,,,,Eric Maskin,''[https://dspace.mit.edu/handle/1721.1/8412 Social capital and microfinance]''. Ph.D. dissertation; ''[https://dspace.mit.edu/handle/1721.1/9516 Essays in empirical development economics]''. Ph.D. dissertation; Benjamin Jones; Dean Karlan<ref>Karlan; Dean S. (2002); Esther (1999); Esther Duflo<ref>Duflo; Massachusetts Institute of Technology.</ref>,Kolkata; Presidency College; Đại học Calcutta (BA); Đại học Harvard (PhD); Đại học Jawaharlal Nehru (MA),Kinh tế học phát triển,,Abhijit Banerjee FT Goldman Sachs Business Book of the Year Award 2011 (cropped).jpg,,,,Abhijit Banerjee,Hoa Kỳ,,,,,,,,,,,,,,,Arundhati Tuli (đã ly dị); Esther Duflo (2015–nay),,,,,,,,,,,,,,,Viện Công nghệ Massachusetts
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess,Viện Công nghệ Massachusetts; Đại học Harvard,,,1969,,D.C; Hoa Kỳ; Washington,Adam Riess nhận Giải Shaw trong thiên văn học năm 2006 cho sự khám phá vũ trụ đang dãn nở tăng tốc,,,,,,,Thiên văn vật lý,,Adam Riess.jpg,,200px,Vũ trụ gia tốc / Năng lượng tối,Adam Guy Riess,Hoa Kỳ,,,,,,,,,,,Giải Nobel Vật lý (2011); Giải Shaw (2006); Huy chương Albert Einstein (2011),,Hoa Kỳ,,,,,,,,,,,,,,,Đại học Johns Hopkins / Viện khoa học kính thiên văn không gian,,
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak,Đại học Georgetown; Đại học Harvard,Đại học Hebrew của Jerusalem,,,,Kaunas; Lithuania,,,,,,,,,,Aharon Barak.jpg,,180px,,Aharon Barak,Israel,,Chánh Án Tòa án tối cao Israel,,,,Meir Shamgar,,,,,,,,,Elisheva Ososkin,Dorit Beinisch,,,,ngày 14 tháng 9 năm 2006,,,,ngày 13 tháng 8 năm 1995,,,,,,
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai,Đại học Harvard,,,,Ajit Varadaraj Pai,Buffalo; Hoa Kỳ; New York,,,,,,,Đại học Chicago; Đại học Harvard,,,Ajit Pai portrait 2018.jpg,,,,Ajit Pai,,,Chủ tịch Ủy ban Truyền thông Liên bang,Thành viên Ủy ban Truyền thông Liên bang,,Cộng hòa,Tom Wheeler,Meredith Attwell Baker,,,Donald Trump,,,,,,,,,,,,,,23 tháng 1 năm 2017,14 tháng 5 năm 2012,,,,,
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan,Đại học Columbia,,,,,New York; Thành phố New York,,,,,,,,kinh tế,,Alan Greenspan color photo portrait.jpg,,220px,bong bóng Dot-com; cách xử lý ngày Thứ Hai Đen,Alan Greenspan,Hoa Kỳ,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,Đại học Bocconi; Đại học Harvard,,,,,,,,,,,,Kinh tế chính trị,,Alberto Alesina (2013).jpg,,,,Alberto Alesina,,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,,,1944,,,Alexander Berzin; tháng 6 năm 2007,,,,,,,,,220px|Alexander Berzin; tháng 6 năm 2007,,,,Alexander Berzin,,học giả Phật giáo Tây Tạng,,,,,,,,,,,Phật giáo Tây Tạng,,,,,,,,,,,,,,,,,,
