person_title,person_url
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee
Ada Osakwe,https://vi.wikipedia.org/wiki/Ada_Osakwe
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess
Adriana Cisneros,https://vi.wikipedia.org/wiki/Adriana_Cisneros
Agata Passent,https://vi.wikipedia.org/wiki/Agata_Passent
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai
Akiva Goldsman,https://vi.wikipedia.org/wiki/Akiva_Goldsman
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan
Alan Krueger,https://vi.wikipedia.org/wiki/Alan_Krueger
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin
Alexander Wendt,https://vi.wikipedia.org/wiki/Alexander_Wendt
Alfred G. Gilman,https://vi.wikipedia.org/wiki/Alfred_G._Gilman
Alfred Kinsey,https://vi.wikipedia.org/wiki/Alfred_Kinsey
Alfred Sturtevant,https://vi.wikipedia.org/wiki/Alfred_Sturtevant
Alicia Keys,https://vi.wikipedia.org/wiki/Alicia_Keys
Allan Hendry,https://vi.wikipedia.org/wiki/Allan_Hendry
Allan Lichtman,https://vi.wikipedia.org/wiki/Allan_Lichtman
Allan Spear,https://vi.wikipedia.org/wiki/Allan_Spear
Allen Ginsberg,https://vi.wikipedia.org/wiki/Allen_Ginsberg
Alsarah,https://vi.wikipedia.org/wiki/Alsarah
Alvin E. Roth,https://vi.wikipedia.org/wiki/Alvin_E._Roth
Amanda Labarca,https://vi.wikipedia.org/wiki/Amanda_Labarca
Amanda Nguyễn,https://vi.wikipedia.org/wiki/Amanda_Nguy%E1%BB%85n
Amanda Peet,https://vi.wikipedia.org/wiki/Amanda_Peet
Amemiya Takeshi,https://vi.wikipedia.org/wiki/Amemiya_Takeshi
Aminta Granera,https://vi.wikipedia.org/wiki/Aminta_Granera
Amos Tversky,https://vi.wikipedia.org/wiki/Amos_Tversky
Amy Chua,https://vi.wikipedia.org/wiki/Amy_Chua
Amy Mainzer,https://vi.wikipedia.org/wiki/Amy_Mainzer
An-My Lê,https://vi.wikipedia.org/wiki/An-My_L%C3%AA
Ananda Mahidol,https://vi.wikipedia.org/wiki/Ananda_Mahidol
Anderson Cooper,https://vi.wikipedia.org/wiki/Anderson_Cooper
Andrea M. Ghez,https://vi.wikipedia.org/wiki/Andrea_M._Ghez
Andreas Papandreou,https://vi.wikipedia.org/wiki/Andreas_Papandreou
Andrew Fire,https://vi.wikipedia.org/wiki/Andrew_Fire
Andrew McCollum,https://vi.wikipedia.org/wiki/Andrew_McCollum
André Aciman,https://vi.wikipedia.org/wiki/Andr%C3%A9_Aciman
Anna Christina Nobre,https://vi.wikipedia.org/wiki/Anna_Christina_Nobre
Anna Paquin,https://vi.wikipedia.org/wiki/Anna_Paquin
Anne Applebaum,https://vi.wikipedia.org/wiki/Anne_Applebaum
Anne Henrietta Martin,https://vi.wikipedia.org/wiki/Anne_Henrietta_Martin
Anthony Lake,https://vi.wikipedia.org/wiki/Anthony_Lake
Anthony Perkins,https://vi.wikipedia.org/wiki/Anthony_Perkins
Antonin Scalia,https://vi.wikipedia.org/wiki/Antonin_Scalia
Aravind Adiga,https://vi.wikipedia.org/wiki/Aravind_Adiga
Ariana Austin Makonnen,https://vi.wikipedia.org/wiki/Ariana_Austin_Makonnen
Armen Alchian,https://vi.wikipedia.org/wiki/Armen_Alchian
Arno Allan Penzias,https://vi.wikipedia.org/wiki/Arno_Allan_Penzias
Arnold Zellner,https://vi.wikipedia.org/wiki/Arnold_Zellner
Arora Akanksha,https://vi.wikipedia.org/wiki/Arora_Akanksha
Art Feltman,https://vi.wikipedia.org/wiki/Art_Feltman
Art Garfunkel,https://vi.wikipedia.org/wiki/Art_Garfunkel
Arthur Cronquist,https://vi.wikipedia.org/wiki/Arthur_Cronquist
Arthur Miller,https://vi.wikipedia.org/wiki/Arthur_Miller
Arthur T. Benjamin,https://vi.wikipedia.org/wiki/Arthur_T._Benjamin
Ashraf Ghani,https://vi.wikipedia.org/wiki/Ashraf_Ghani
Ashton Carter,https://vi.wikipedia.org/wiki/Ashton_Carter
Asō Tarō,https://vi.wikipedia.org/wiki/As%C5%8D_Tar%C5%8D
Audre Lorde,https://vi.wikipedia.org/wiki/Audre_Lorde
Augustus Hopkins Strong,https://vi.wikipedia.org/wiki/Augustus_Hopkins_Strong
Auliʻi Cravalho,https://vi.wikipedia.org/wiki/Auli%CA%BBi_Cravalho
Aziza Chaouni,https://vi.wikipedia.org/wiki/Aziza_Chaouni
B. F. Skinner,https://vi.wikipedia.org/wiki/B._F._Skinner
Ban Ki-moon,https://vi.wikipedia.org/wiki/Ban_Ki-moon
Barack Obama,https://vi.wikipedia.org/wiki/Barack_Obama
Barbara Mulwana,https://vi.wikipedia.org/wiki/Barbara_Mulwana
Beekman Winthrop,https://vi.wikipedia.org/wiki/Beekman_Winthrop
Bellamy Young,https://vi.wikipedia.org/wiki/Bellamy_Young
Ben Bernanke,https://vi.wikipedia.org/wiki/Ben_Bernanke
Ben Carson,https://vi.wikipedia.org/wiki/Ben_Carson
Ben Roy Mottelson,https://vi.wikipedia.org/wiki/Ben_Roy_Mottelson
Benazir Bhutto,https://vi.wikipedia.org/wiki/Benazir_Bhutto
Bengt Holmström,https://vi.wikipedia.org/wiki/Bengt_Holmstr%C3%B6m
Benjamin Graham,https://vi.wikipedia.org/wiki/Benjamin_Graham
Benjamin Lee Whorf,https://vi.wikipedia.org/wiki/Benjamin_Lee_Whorf
Benjamin Netanyahu,https://vi.wikipedia.org/wiki/Benjamin_Netanyahu
Benjamin Widom,https://vi.wikipedia.org/wiki/Benjamin_Widom
Bernhard của Oranje-Nassau,https://vi.wikipedia.org/wiki/Bernhard_c%E1%BB%A7a_Oranje-Nassau
Bertil Ohlin,https://vi.wikipedia.org/wiki/Bertil_Ohlin
Bhimrao Ambedkar,https://vi.wikipedia.org/wiki/Bhimrao_Ambedkar
Bill Clinton,https://vi.wikipedia.org/wiki/Bill_Clinton
Bill Condon,https://vi.wikipedia.org/wiki/Bill_Condon
Bill Gates,https://vi.wikipedia.org/wiki/Bill_Gates
Bill Gates Sr.,https://vi.wikipedia.org/wiki/Bill_Gates_Sr.
Binh Danh,https://vi.wikipedia.org/wiki/Binh_Danh
Birendra của Nepal,https://vi.wikipedia.org/wiki/Birendra_c%E1%BB%A7a_Nepal
Bob Dylan,https://vi.wikipedia.org/wiki/Bob_Dylan
Bob Lazar,https://vi.wikipedia.org/wiki/Bob_Lazar
Bob Sternfels,https://vi.wikipedia.org/wiki/Bob_Sternfels
Bob Taft,https://vi.wikipedia.org/wiki/Bob_Taft
Bob Woodward,https://vi.wikipedia.org/wiki/Bob_Woodward
Bradley Cooper,https://vi.wikipedia.org/wiki/Bradley_Cooper
Brandi Rhodes,https://vi.wikipedia.org/wiki/Brandi_Rhodes
Bret Taylor,https://vi.wikipedia.org/wiki/Bret_Taylor
Brett Giroir,https://vi.wikipedia.org/wiki/Brett_Giroir
Brian Coyle,https://vi.wikipedia.org/wiki/Brian_Coyle
Brian P. Schmidt,https://vi.wikipedia.org/wiki/Brian_P._Schmidt
Bruce Henderson,https://vi.wikipedia.org/wiki/Bruce_Henderson
Bruno Maddox,https://vi.wikipedia.org/wiki/Bruno_Maddox
Buckminster Fuller,https://vi.wikipedia.org/wiki/Buckminster_Fuller
Burton Richter,https://vi.wikipedia.org/wiki/Burton_Richter
Buzz Aldrin,https://vi.wikipedia.org/wiki/Buzz_Aldrin
